"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-27 ";"1/8''-28 ";"25,0 ";"10,0 ";"4,0 ";"4,0 ";"12 ";"14 ";"2280511-02-02 ";"14,8 ";"";"1627 "
"400 ";"1/4''-18 ";"1/4''-19 ";"32,0 ";"15,0 ";"7,0 ";"5,0 ";"14 ";"19 ";"2280511-04-04 ";"14,8 ";"";"1628 "
"400 ";"3/8''-18 ";"1/4''-19 ";"32,0 ";"15,3 ";"10,3 ";"5,0 ";"19 ";"19 ";"2280511-04-06 ";"18 ";"";"1629 "
"400 ";"1/4''-18 ";"3/8''-19 ";"33,6 ";"15,0 ";"7,0 ";"7,0 ";"17 ";"22 ";"2280511-06-04 ";"18 ";"";"1630 "
"400 ";"3/8''-18 ";"3/8''-19 ";"33,0 ";"15,3 ";"10,0 ";"8,0 ";"19 ";"22 ";"2280511-06-06 ";"17 ";"";"1631 "
"400 ";"1/2''-14 ";"3/8''-19 ";"40,8 ";"20,0 ";"13,5 ";"8,0 ";"22 ";"22 ";"2280511-06-08 ";"21,8 ";"";"1632 "
"400 ";"3/8''-18 ";"1/2''-14 ";"34,8 ";"15,3 ";"10,3 ";"9,5 ";"19 ";"27 ";"2280511-08-06 ";"21,8 ";"";"1633 "
"400 ";"1/2''-14 ";"1/2''-14 ";"42,0 ";"20,0 ";"13,5 ";"9,5 ";"22 ";"27 ";"2280511-08-08 ";"19,95 ";"";"1634 "
"400 ";"3/4''-14 ";"1/2''-14 ";"41,0 ";"20,0 ";"16,5 ";"9,5 ";"27 ";"27 ";"2280511-08-12 ";"26,5 ";"";"1635 "
"400 ";"1/2''-14 ";"3/4''-14 ";"43,0 ";"20,0 ";"13,5 ";"16,5 ";"27 ";"32 ";"2280511-12-08 ";"26,5 ";"";"1636 "
"400 ";"3/4''-14 ";"3/4''-14 ";"43,0 ";"20,0 ";"16,5 ";"16,5 ";"27 ";"32 ";"2280511-12-12 ";"25 ";"";"1637 "
"400 ";"1''-11,5 ";"3/4''-14 ";"48,5 ";"25,0 ";"24,0 ";"16,5 ";"36 ";"32 ";"2280511-12-16 ";"38,5 ";"";"1638 "
"400 ";"1''-11 ";"1''-11 ";"49,5 ";"25,0 ";"24,0 ";"21,0 ";"36 ";"41 ";"2280511-16-16 ";"33,9 ";"";"1639 "
"200 ";"1 1/4''-11,5 ";"1 1/4''-11 ";"53,0 ";"25,5 ";"28,0 ";"28,0 ";"46 ";"50 ";"2280511-20-20 ";"68,5 ";"";"1640 "
"200 ";"1 1/2''-11,5 ";"1 1/2''-11 ";"57,0 ";"26,0 ";"32,5 ";"32,5 ";"50 ";"55 ";"2280511-24-24 ";"90,45 ";"";"1641 "
"100 ";"2''-11,5 ";"2''-11 ";"69,0 ";"26,0 ";"42,0 ";"42,0 ";"65 ";"70 ";"2280511-32-32 ";"145 ";"";"1642 "
