"Druck  Pressure  PN";"Gewinde  Thread  G1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,5 ";"8 ";"4,0 ";"4,0 ";"14 ";"14 ";"2050511-02-02 ";"10,95 ";"";"1643 "
"400 ";"1/8''-28 ";"1/4''-19 ";"27,5 ";"12 ";"4,0 ";"4,0 ";"19 ";"14 ";"2050511-02-04 ";"12,95 ";"";"1644 "
"400 ";"1/4''-19 ";"1/8''-28 ";"27,0 ";"8 ";"4,0 ";"4,0 ";"14 ";"19 ";"2050511-04-02 ";"9,75 ";"";"1645 "
"400 ";"1/4''-19 ";"1/4''-19 ";"30,0 ";"12 ";"5,0 ";"5,0 ";"19 ";"19 ";"2050511-04-04 ";"9,75 ";"";"1646 "
"400 ";"1/4''-19 ";"3/8''-19 ";"31,5 ";"12 ";"9,0 ";"5,0 ";"22 ";"19 ";"2050511-04-06 ";"13,95 ";"";"1647 "
"400 ";"1/4''-19 ";"1/2''-14 ";"35,5 ";"14 ";"11,5 ";"5,0 ";"27 ";"19 ";"2050511-04-08 ";"23,95 ";"";"1648 "
"400 ";"3/8''-19 ";"1/8''-28 ";"26,0 ";"8 ";"4,5 ";"4,5 ";"17 ";"19 ";"2050511-06-02 ";"12,95 ";"";"1649 "
"400 ";"3/8''-19 ";"1/4''-19 ";"31,5 ";"12 ";"5,0 ";"8,0 ";"19 ";"22 ";"2050511-06-04 ";"12,7 ";"";"1650 "
"400 ";"3/8''-19 ";"3/8''-19 ";"32,5 ";"12 ";"8,0 ";"8,0 ";"22 ";"22 ";"2050511-06-06 ";"11,9 ";"";"1651 "
"400 ";"3/8''-19 ";"1/2''-14 ";"37,0 ";"14 ";"11,5 ";"8,0 ";"27 ";"22 ";"2050511-06-08 ";"18,75 ";"";"1652 "
"400 ";"1/2''-14 ";"1/4''-19 ";"31,5 ";"12 ";"5,0 ";"11,0 ";"19 ";"27 ";"2050511-08-04 ";"23,95 ";"";"1653 "
"400 ";"1/2''-14 ";"3/8''-19 ";"32,5 ";"12 ";"9,0 ";"9,0 ";"22 ";"27 ";"2050511-08-06 ";"15,3 ";"";"1654 "
"400 ";"1/2''-14 ";"1/2''-14 ";"36,0 ";"14 ";"11,0 ";"11,0 ";"27 ";"27 ";"2050511-08-08 ";"15,4 ";"";"1655 "
"400 ";"1/2''-14 ";"3/4''-14 ";"39,5 ";"16 ";"11,0 ";"11,0 ";"32 ";"27 ";"2050511-08-12 ";"27,5 ";"";"1656 "
"400 ";"3/4''-14 ";"1/2''-14 ";"42,0 ";"14 ";"11,5 ";"16,0 ";"27 ";"32 ";"2050511-12-08 ";"22,7 ";"";"1657 "
"400 ";"3/4''-14 ";"3/4''-14 ";"41,0 ";"16 ";"16,5 ";"16,5 ";"32 ";"32 ";"2050511-12-12 ";"19,5 ";"";"1658 "
"400 ";"3/4''-14 ";"1''-11 ";"45,0 ";"18 ";"22,5 ";"16,5 ";"41 ";"32 ";"2050511-12-16 ";"41,6 ";"";"1659 "
"400 ";"1''-11 ";"3/4''-14 ";"44,0 ";"18 ";"17,0 ";"22,0 ";"32 ";"41 ";"2050511-16-12 ";"38 ";"";"1660 "
"400 ";"1''-11 ";"1''-11 ";"45,5 ";"18 ";"22,0 ";"22,0 ";"41 ";"41 ";"2050511-16-16 ";"35,75 ";"";"1661 "
"200 ";"1''-11 ";"1 1/4''-11 ";"49,5 ";"20 ";"29,0 ";"22,5 ";"50 ";"41 ";"2050511-16-20 ";"78 ";"";"1662 "
"200 ";"1 1/4''-11 ";"1''-11 ";"53,0 ";"18 ";"22,0 ";"22,0 ";"41 ";"50 ";"2050511-20-16 ";"59,9 ";"";"1663 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"48,5 ";"20 ";"28,0 ";"28,0 ";"50 ";"50 ";"2050511-20-20 ";"59,25 ";"";"1664 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"53,0 ";"22 ";"33,0 ";"33,0 ";"55 ";"55 ";"2050511-24-24 ";"73,5 ";"";"1665 "
"100 ";"2''-11 ";"2''-11 ";"72,0 ";"23 ";"42,0 ";"42,0 ";"70 ";"70 ";"2050511-32-32 ";"145 ";"";"1666 "
