"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"42,5 ";"8 ";"28 ";"4,5 ";"14 ";"14 ";"1050511-02 ";"14,95 ";"";"1792 "
"400 ";"1/4''-19 ";"46,0 ";"11 ";"28 ";"6,0 ";"19 ";"19 ";"1050511-04 ";"12,85 ";"";"1793 "
"400 ";"3/8''-19 ";"52,0 ";"12 ";"32 ";"8,0 ";"22 ";"22 ";"1050511-06 ";"14,55 ";"";"1794 "
"400 ";"1/2''-14 ";"59,0 ";"14 ";"35 ";"11,0 ";"27 ";"27 ";"1050511-08 ";"17,2 ";"";"1795 "
"400 ";"5/8''-14 ";"63,0 ";"16 ";"35 ";"14,5 ";"30 ";"30 ";"1050511-10 ";"27,75 ";"";"1796 "
"400 ";"3/4''-14 ";"66,0 ";"16 ";"38 ";"16,5 ";"32 ";"32 ";"1050511-12 ";"27,75 ";"";"1797 "
"400 ";"1''-11 ";"72,0 ";"19 ";"41 ";"22,5 ";"41 ";"41 ";"1050511-16 ";"39,9 ";"";"1798 "
"200 ";"1 1/4''-11 ";"78,0 ";"20 ";"44 ";"30,5 ";"50 ";"50 ";"1050511-20 ";"67,35 ";"";"1799 "
"200 ";"1 1/2''-11 ";"84,0 ";"22 ";"48 ";"37,0 ";"55 ";"55 ";"1050511-24 ";"81 ";"";"1800 "
"100 ";"2''-11 ";"91,0 ";"23 ";"48 ";"46,0 ";"70 ";"70 ";"1050511-32 ";"150,25 ";"";"1801 "
