"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = Metric";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"1/4''-19 ";"M 12 x 1,5 ";"53,0 ";"12 ";"34 ";"4 ";"19 ";"17 ";"1050509-04-06-L ";"45,5 ";"";"11240 "
"500 ";"8 ";"1/4''-19 ";"M 14 x 1,5 ";"53,0 ";"12 ";"34 ";"6 ";"19 ";"19 ";"1050509-04-08-L ";"45,8 ";"";"1998 "
"500 ";"10 ";"1/4''-19 ";"M 16 x 1,5 ";"57,0 ";"12 ";"35 ";"7 ";"19 ";"22 ";"1050509-04-10-L ";"46,5 ";"";"1999 "
"500 ";"8 ";"3/8''-19 ";"M 14 x 1,5 ";"56,0 ";"12 ";"34 ";"6 ";"22 ";"19 ";"1050509-06-08-L ";"47,9 ";"";"2000 "
"500 ";"10 ";"3/8''-19 ";"M 16 x 1,5 ";"55,5 ";"12 ";"35 ";"8 ";"22 ";"22 ";"1050509-06-10-L ";"48,3 ";"";"2001 "
"400 ";"12 ";"3/8''-19 ";"M 18 x 1,5 ";"56,5 ";"12 ";"36 ";"10 ";"24 ";"24 ";"1050509-06-12-L ";"53,6 ";"";"2002 "
"630 ";"12 ";"3/8''-19 ";"M 20 x 1,5 ";"62,0 ";"12 ";"38 ";"8 ";"27 ";"27 ";"1050509-06-12-S ";"48,5 ";"";"2004 "
"400 ";"15 ";"3/8''-19 ";"M 22 x 1,5 ";"58,0 ";"12 ";"38 ";"10 ";"27 ";"30 ";"1050509-06-15-L ";"57,8 ";"";"2003 "
"500 ";"8 ";"1/2''-14 ";"M 14 x 1,5 ";"57,0 ";"14 ";"34 ";"6 ";"27 ";"19 ";"1050509-08-08-L ";"55,9 ";"";"11751 "
"500 ";"10 ";"1/2''-14 ";"M 16 x 1,5 ";"58,0 ";"14 ";"35 ";"8 ";"27 ";"22 ";"1050509-08-10-L ";"54,9 ";"";"11237 "
"400 ";"12 ";"1/2''-14 ";"M 18 x 1,5 ";"60,0 ";"14 ";"36 ";"10 ";"27 ";"24 ";"1050509-08-12-L ";"55,2 ";"";"2005 "
"630 ";"12 ";"1/2''-14 ";"M 20 x 1,5 ";"63,0 ";"14 ";"38 ";"8 ";"27 ";"27 ";"1050509-08-12-S ";"56,9 ";"";"2006 "
"400 ";"15 ";"1/2''-14 ";"M 22 x 1,5 ";"62,0 ";"14 ";"38 ";"12 ";"27 ";"30 ";"1050509-08-15-L ";"57,8 ";"";"2007 "
"630 ";"16 ";"1/2''-14 ";"M 24 x 1,5 ";"64,0 ";"14 ";"39 ";"12 ";"27 ";"32 ";"1050509-08-16-S ";"58,2 ";"";"2008 "
"400 ";"18 ";"1/2''-14 ";"M 26 x 1,5 ";"63,0 ";"14 ";"40 ";"15 ";"32 ";"36 ";"1050509-08-18-L ";"59,8 ";"";"11241 "
"400 ";"15 ";"3/4''-14 ";"M 22 x 1,5 ";"64,0 ";"16 ";"38 ";"12 ";"32 ";"30 ";"1050509-12-15-L ";"65,5 ";"";"2009 "
"630 ";"16 ";"3/4''-14 ";"M 24 x 1,5 ";"69,0 ";"16 ";"40 ";"12 ";"32 ";"32 ";"1050509-12-16-S ";"65,5 ";"";"2010 "
"400 ";"18 ";"3/4''-14 ";"M 26 x 1,5 ";"66,0 ";"16 ";"40 ";"15 ";"32 ";"36 ";"1050509-12-18-L ";"65,5 ";"";"2011 "
"250 ";"22 ";"3/4''-14 ";"M 30 x 2 ";"68,0 ";"16 ";"42 ";"18 ";"36 ";"41 ";"1050509-12-22-L ";"75,5 ";"";"2012 "
"400 ";"18 ";"1''-11 ";"M 26 x 1,5 ";"69,0 ";"18 ";"40 ";"15 ";"41 ";"36 ";"1050509-16-18-L ";"84,3 ";"";"2013 "
"420 ";"20 ";"1''-11 ";"M 30 x 2 ";"73,0 ";"18 ";"44 ";"16 ";"41 ";"41 ";"1050509-16-20-S ";"84,3 ";"";"2014 "
"250 ";"22 ";"1''-11 ";"M 30 x 2 ";"73,0 ";"18 ";"42 ";"19 ";"41 ";"41 ";"1050509-16-22-L ";"84,3 ";"";"2015 "
"420 ";"25 ";"1''-11 ";"M 36 x 2 ";"81,5 ";"18 ";"47 ";"19 ";"46 ";"46 ";"1050509-16-25-S ";"88,9 ";"";"2016 "
"250 ";"28 ";"1''-11 ";"M 36 x 2 ";"72,0 ";"18 ";"43 ";"24 ";"41 ";"46 ";"1050509-16-28-L ";"88 ";"";"11239 "
"420 ";"30 ";"1 1/4''-11 ";"M 42 x 2 ";"88,0 ";"20 ";"51 ";"25 ";"50 ";"50 ";"1050509-20-30-S ";"245 ";"";"11238 "
"250 ";"42 ";"1 1/2''-11 ";"M 52 x 2 ";"86,0 ";"22 ";"47 ";"36 ";"60 ";"65 ";"1050509-24-42-L ";"259 ";"";"11242 "
