"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1/8''-28 ";"6 ";"14 ";"1050526-02 ";"2,7 ";"";"1988 "
"1/4''-19 ";"6 ";"19 ";"1050526-04 ";"2,77 ";"";"1989 "
"3/8''-19 ";"6 ";"22 ";"1050526-06 ";"3,75 ";"";"1990 "
"1/2''-14 ";"6 ";"27 ";"1050526-08 ";"4,1 ";"";"1991 "
"5/8''-14 ";"7 ";"30 ";"1050526-10 ";"";"";"1992 "
"3/4''-14 ";"7 ";"32 ";"1050526-12 ";"6,3 ";"";"1993 "
"1''-11 ";"11 ";"41 ";"1050526-16 ";"8 ";"";"1994 "
"1 1/4''-11 ";"11 ";"50 ";"1050526-20 ";"12,6 ";"";"1995 "
"1 1/2''-11 ";"9 ";"55 ";"1050526-24 ";"14,3 ";"";"1996 "
"2''-11 ";"9 ";"70 ";"1050526-32 ";"30,5 ";"";"1997 "
