"Druck  Pressure  PN";"Gewinde  Thread  G1 x G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"1/4'' x 1/8'' ";"30,0 ";"13,0 ";"12,0 ";"17 ";"1050512-04-02 ";"7,25 ";"";"1820 "
"630 ";"3/8'' x 1/4'' ";"32,0 ";"14,0 ";"14,0 ";"22 ";"1050512-06-04 ";"9,95 ";"";"1821 "
"400 ";"1/2'' x 3/8'' ";"35,0 ";"16,0 ";"14,0 ";"27 ";"1050512-08-06 ";"13 ";"";"1822 "
"400 ";"1/2'' x 1/4'' ";"35,0 ";"16,0 ";"16,0 ";"27 ";"1050512-08-04 ";"14,5 ";"";"1823 "
"400 ";"3/4'' x 1/2'' ";"38,0 ";"17,0 ";"14,0 ";"32 ";"1050512-12-08 ";"17,2 ";"";"1824 "
"400 ";"3/4'' x 3/8'' ";"38,0 ";"17,0 ";"14,0 ";"32 ";"1050512-12-06 ";"18,9 ";"";"1825 "
"400 ";"1'' x 3/4'' ";"42,0 ";"20,0 ";"18,0 ";"41 ";"1050512-16-12 ";"24,5 ";"";"1826 "
"400 ";"1'' x 1/2'' ";"42,0 ";"20,0 ";"18,0 ";"41 ";"1050512-16-08 ";"25,5 ";"";"1827 "
"315 ";"1 1/4'' x 1'' ";"48,0 ";"22,0 ";"22,0 ";"50 ";"1050512-20-16 ";"36,5 ";"";"1828 "
"315 ";"1 1/2'' x 1 1/4'' ";"48,0 ";"24,0 ";"22,0 ";"55 ";"1050512-24-20 ";"41,8 ";"";"1829 "
"250 ";"2'' x 1 1/2'' ";"56,0 ";"26,0 ";"23,0 ";"70 ";"1050512-32-24 ";"79,75 ";"";"1830 "
