"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"3/8''-19 ";"1/8''-28 ";"22,5 ";"12,0 ";"8,0 ";"9,0 ";"22 ";"A ";"1050515-06-02 ";"12,58 ";"";"11216 "
"400 ";"1/2''-14 ";"1/8''-28 ";"24,0 ";"14,0 ";"8,0 ";"9,0 ";"27 ";"A ";"1050515-08-02 ";"13,93 ";"";"11217 "
"400 ";"1/2''-14 ";"1/4''-19 ";"24,0 ";"14,0 ";"12,0 ";"12,0 ";"27 ";"A ";"1050515-08-04 ";"13,7 ";"";"11218 "
"400 ";"3/4''-14 ";"1/8''-28 ";"26,0 ";"16,0 ";"8,0 ";"9,0 ";"32 ";"A ";"1050515-12-02 ";"21,95 ";"";"11219 "
"400 ";"3/4''-14 ";"1/4''-19 ";"26,0 ";"16,0 ";"12,0 ";"11,5 ";"32 ";"A ";"1050515-12-04 ";"20,96 ";"";"11220 "
"400 ";"3/4''-14 ";"3/8''-19 ";"26,0 ";"16,0 ";"13,0 ";"15,0 ";"32 ";"A ";"1050515-12-06 ";"20,96 ";"";"11221 "
"400 ";"1''-11 ";"1/4''-19 ";"29,0 ";"18,0 ";"12,0 ";"11,5 ";"41 ";"A ";"1050515-16-04 ";"25,85 ";"";"11222 "
"400 ";"1''-11 ";"3/8''-19 ";"29,0 ";"18,0 ";"12,0 ";"15,0 ";"41 ";"A ";"1050515-16-06 ";"26,28 ";"";"11223 "
"400 ";"1''-11 ";"1/2''-14 ";"29,0 ";"18,0 ";"14,0 ";"19,0 ";"41 ";"A ";"1050515-16-08 ";"28,12 ";"";"11224 "
"250 ";"1 1/4''-11 ";"3/8''-19 ";"32,0 ";"20,0 ";"17,0 ";"15,0 ";"50 ";"A ";"1050515-20-06 ";"52,8 ";"";"11225 "
"250 ";"1 1/4''-11 ";"1/2''-14 ";"32,0 ";"20,0 ";"14,0 ";"19,0 ";"50 ";"A ";"1050515-20-08 ";"51,64 ";"";"11226 "
"250 ";"1 1/4''-11 ";"3/4''-14 ";"32,0 ";"20,0 ";"16,0 ";"24,5 ";"50 ";"A ";"1050515-20-12 ";"52,41 ";"";"11227 "
"250 ";"1 1/2''-11 ";"1/2''-14 ";"36,0 ";"22,0 ";"14,0 ";"19,0 ";"55 ";"A ";"1050515-24-08 ";"57,27 ";"";"11228 "
"250 ";"1 1/2''-11 ";"3/4''-14 ";"36,0 ";"22,0 ";"16,0 ";"24,5 ";"55 ";"A ";"1050515-24-12 ";"58,29 ";"";"11229 "
"250 ";"1 1/2''-11 ";"1''-11 ";"36,0 ";"22,0 ";"18,0 ";"30,0 ";"55 ";"A ";"1050515-24-16 ";"60,33 ";"";"11230 "
"250 ";"2''-11 ";"1/2''-14 ";"41,5 ";"22,5 ";"16,0 ";"19,0 ";"70 ";"A ";"1050515-32-08 ";"130,38 ";"";"11231 "
"250 ";"2''-11 ";"3/4''-14 ";"42,0 ";"22,5 ";"16,0 ";"24,5 ";"70 ";"A ";"1050515-32-12 ";"130,38 ";"";"11232 "
"250 ";"2''-11 ";"1''-11 ";"42,0 ";"22,5 ";"18,5 ";"30,0 ";"70 ";"A ";"1050515-32-16 ";"125,27 ";"";"11233 "
"250 ";"2''-11 ";"1 1/4''-11 ";"42,0 ";"22,5 ";"18,5 ";"39,5 ";"70 ";"A ";"1050515-32-20 ";"125,27 ";"";"11234 "
"250 ";"2''-11 ";"1 1/2''-11 ";"42,0 ";"22,5 ";"18,5 ";"44,5 ";"70 ";"A ";"1050515-32-24 ";"125,27 ";"";"11235 "
