"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-27 ";"25,0 ";"8 ";"11,5 ";"4 ";"14 ";"B ";"1050518-02-02 ";"9,8 ";"";"1879 "
"400 ";"1/8''-28 ";"1/4''-18 ";"31,0 ";"8 ";"16,5 ";"4 ";"19 ";"B ";"1050518-02-04 ";"9,8 ";"";"1880 "
"400 ";"1/4''-19 ";"1/8''-27 ";"32,0 ";"12 ";"11,5 ";"6 ";"19 ";"B ";"1050518-04-02 ";"9,8 ";"";"1881 "
"400 ";"1/4''-19 ";"1/4''-18 ";"32,0 ";"12 ";"16,5 ";"6 ";"19 ";"B ";"1050518-04-04 ";"9,8 ";"";"1882 "
"400 ";"1/4''-19 ";"3/8''-18 ";"31,0 ";"10 ";"15,5 ";"7 ";"24 ";"B ";"1050518-04-06 ";"9,8 ";"";"1883 "
"400 ";"1/4''-19 ";"1/2''-14 ";"38,0 ";"10 ";"22,5 ";"7 ";"27 ";"B ";"1050518-04-08 ";"13,15 ";"";"1884 "
"400 ";"3/8''-19 ";"1/4''-18 ";"36,0 ";"12 ";"17,5 ";"9 ";"22 ";"B ";"1050518-06-04 ";"9,85 ";"";"1885 "
"400 ";"3/8''-19 ";"3/8''-18 ";"36,0 ";"12 ";"17,5 ";"9 ";"24 ";"B ";"1050518-06-06 ";"12,05 ";"";"1886 "
"400 ";"3/8''-19 ";"1/2''-14 ";"37,0 ";"12 ";"20,0 ";"9 ";"27 ";"B ";"1050518-06-08 ";"12,3 ";"";"1887 "
"400 ";"1/2''-14 ";"1/2''-14 ";"39,0 ";"14 ";"20,0 ";"12 ";"27 ";"B ";"1050518-08-08 ";"12,7 ";"";"1888 "
"400 ";"1/2''-14 ";"3/4''-14 ";"46,0 ";"14 ";"22,0 ";"13 ";"36 ";"B ";"1050518-08-12 ";"22,1 ";"";"1889 "
"400 ";"3/4''-14 ";"1/2''-14 ";"44,0 ";"16 ";"23,0 ";"18 ";"32 ";"A ";"1050518-12-08 ";"22,1 ";"";"11542 "
"400 ";"3/4''-14 ";"3/4''-14 ";"48,0 ";"16 ";"22,0 ";"18 ";"36 ";"B ";"1050518-12-12 ";"22,5 ";"";"1890 "
"400 ";"3/4''-14 ";"1''-11,5 ";"51,0 ";"16 ";"28,0 ";"18 ";"41 ";"B ";"1050518-12-16 ";"27,2 ";"";"1891 "
"400 ";"1''-11 ";"1''-11,5 ";"49,5 ";"18 ";"25,0 ";"22 ";"41 ";"B ";"1050518-16-16 ";"27,2 ";"";"1892 "
"400 ";"1''-11 ";"1 1/4''-11,5 ";"50,5 ";"18 ";"27,0 ";"22 ";"50 ";"B ";"1050518-16-20 ";"58,8 ";"";"1893 "
"200 ";"1 1/4''-11 ";"1 1/4''-11,5 ";"58,0 ";"20 ";"27,0 ";"25 ";"50 ";"B ";"1050518-20-20 ";"50,9 ";"";"1894 "
"200 ";"1 1/2''-11 ";"1 1/2''-11,5 ";"62,0 ";"22 ";"28,0 ";"37 ";"55 ";"B ";"1050518-24-24 ";"59,9 ";"";"1895 "
"100 ";"2''-11 ";"2''-11,5 ";"64,0 ";"23 ";"28,5 ";"43 ";"70 ";"B ";"1050518-32-32 ";"109 ";"";"1896 "
