"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"M 12 x 1,5 ";"24 ";"10 ";"3,5 ";"6 ";"12 ";"0806504-02 ";"11,6 ";"";"1465 "
"250 ";"M 14 x 1,5 ";"25 ";"10 ";"4,5 ";"8 ";"14 ";"0806507-04 ";"11,8 ";"";"1466 "
"250 ";"M 16 x 1,5 ";"25 ";"10 ";"6,0 ";"10 ";"17 ";"0806509-05 ";"12 ";"";"1467 "
"250 ";"M 18 x 1,5 ";"25 ";"10 ";"8,0 ";"14 ";"19 ";"0806511-06 ";"12 ";"";"1468 "
"250 ";"M 22 x 1,5 ";"27 ";"12 ";"10,5 ";"17 ";"22 ";"0806514-08 ";"13 ";"";"1469 "
"250 ";"M 26 x 1,5 ";"28 ";"12 ";"13,0 ";"21 ";"27 ";"0806517-10 ";"14 ";"";"1470 "
"160 ";"M 30 x 1,5 ";"28 ";"12 ";"15,5 ";"25 ";"30 ";"0806521-12 ";"15 ";"";"1471 "
"160 ";"M 38 x 1,5 ";"30 ";"14 ";"21,0 ";"30 ";"41 ";"0806526-16 ";"24 ";"";"1472 "
"100 ";"M 45 x 1,5 ";"31 ";"14 ";"28,0 ";"38 ";"46 ";"0806533-20 ";"30 ";"";"1473 "
"100 ";"M 52 x 1,5 ";"32 ";"14 ";"35,0 ";"44 ";"55 ";"0806541-24 ";"36,5 ";"";"1474 "
"50 ";"M 65 x 2 ";"36 ";"17 ";"45,0 ";"57 ";"65 ";"0806551-32 ";"56 ";"";"1475 "
"50 ";"M 78 x 2 ";"36 ";"17 ";"55,0 ";"64 ";"80 ";"0806561-40 ";"118,5 ";"";"1476 "
"50 ";"M 90 x 2 ";"47 ";"22 ";"67,0 ";"76 ";"90 ";"0806571-48 ";"140,5 ";"";"1477 "
"50 ";"M 100 x 2 ";"47 ";"22 ";"77,0 ";"89 ";"100 ";"0806581-56 ";"179,2 ";"";"1478 "
