"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-27 ";"1/8''-28 ";"25,0 ";"10,0 ";"12,0 ";"4,0 ";"14 ";"B ";"1050517-02-02 ";"9,8 ";"";"1904 "
"400 ";"1/8''-27 ";"1/4''-19 ";"30,0 ";"10,0 ";"17,0 ";"4,0 ";"19 ";"B ";"1050517-02-04 ";"9,8 ";"";"1905 "
"400 ";"1/4''-18 ";"1/8''-28 ";"30,0 ";"15,0 ";"12,0 ";"6,0 ";"14 ";"B ";"1050517-04-02 ";"9,8 ";"";"1906 "
"400 ";"1/4''-18 ";"1/4''-19 ";"34,0 ";"15,0 ";"17,0 ";"6,0 ";"19 ";"B ";"1050517-04-04 ";"9,8 ";"";"1907 "
"400 ";"1/4''-18 ";"3/8''-19 ";"35,0 ";"15,0 ";"17,0 ";"6,0 ";"24 ";"B ";"1050517-04-06 ";"9,8 ";"";"1908 "
"400 ";"1/4''-18 ";"1/2''-14 ";"36,5 ";"15,0 ";"20,0 ";"5,0 ";"27 ";"B ";"1050517-04-08 ";"12,4 ";"";"1909 "
"400 ";"3/8''-18 ";"1/4''-19 ";"35,0 ";"15,0 ";"17,0 ";"9,0 ";"19 ";"B ";"1050517-06-04 ";"9,85 ";"";"1910 "
"400 ";"3/8''-18 ";"3/8''-19 ";"35,0 ";"15,0 ";"17,0 ";"9,0 ";"24 ";"B ";"1050517-06-06 ";"12,05 ";"";"1911 "
"400 ";"3/8''-18 ";"1/2''-14 ";"37,0 ";"15,0 ";"20,0 ";"9,0 ";"27 ";"B ";"1050517-06-08 ";"12,4 ";"";"1912 "
"400 ";"1/2''-14 ";"3/8''-19 ";"38,0 ";"20,0 ";"17,0 ";"12,0 ";"24 ";"B ";"1050517-08-06 ";"12,3 ";"";"1913 "
"400 ";"1/2''-14 ";"1/2''-14 ";"41,0 ";"20,0 ";"20,0 ";"12,0 ";"27 ";"B ";"1050517-08-08 ";"12,7 ";"";"1914 "
"400 ";"1/2''-14 ";"3/4''-14 ";"48,0 ";"20,0 ";"22,5 ";"12,0 ";"32 ";"B ";"1050517-08-12 ";"22,1 ";"";"1915 "
"400 ";"3/4''-14 ";"1/2''-14 ";"42,0 ";"20,0 ";"20,0 ";"15,0 ";"27 ";"B ";"1050517-12-08 ";"19,3 ";"";"1916 "
"400 ";"3/4''-14 ";"3/4''-14 ";"48,0 ";"20,0 ";"22,5 ";"18,0 ";"32 ";"B ";"1050517-12-12 ";"22,1 ";"";"1917 "
"400 ";"3/4''-14 ";"1''-11 ";"50,0 ";"20,0 ";"25,0 ";"18,0 ";"41 ";"B ";"1050517-12-16 ";"27,2 ";"";"1918 "
"400 ";"1''-11,5 ";"3/4''-14 ";"54,0 ";"25,0 ";"22,5 ";"21,0 ";"36 ";"B ";"1050517-16-12 ";"23,6 ";"";"1919 "
"400 ";"1''-11,5 ";"1''-11 ";"57,0 ";"25,0 ";"25,0 ";"21,0 ";"41 ";"B ";"1050517-16-16 ";"27,2 ";"";"1920 "
"200 ";"1''-11,5 ";"1 1/4''-11 ";"57,0 ";"25,0 ";"27,0 ";"21,0 ";"55 ";"B ";"1050517-16-20 ";"54,1 ";"";"1921 "
"200 ";"1 1/4''-11,5 ";"1 1/4''-11 ";"57,5 ";"25,5 ";"27,0 ";"30,0 ";"55 ";"B ";"1050517-20-20 ";"60 ";"";"1922 "
"200 ";"1 1/4''-11,5 ";"1 1/2''-11 ";"62,5 ";"25,5 ";"27,5 ";"30,0 ";"55 ";"B ";"1050517-20-24 ";"64 ";"";"1923 "
"200 ";"1 1/2''-11,5 ";"1 1/4''-11 ";"56,0 ";"26,0 ";"27,0 ";"36,0 ";"55 ";"B ";"1050517-24-20 ";"59,5 ";"";"1924 "
"200 ";"1 1/2''-11,5 ";"1 1/2''-11 ";"63,0 ";"26,0 ";"27,5 ";"36,0 ";"55 ";"B ";"1050517-24-24 ";"60,2 ";"";"1925 "
"100 ";"1 1/2''-11,5 ";"2''-11 ";"64,0 ";"26,0 ";"30,5 ";"36,0 ";"70 ";"B ";"1050517-24-32 ";"125 ";"";"1926 "
"100 ";"2''-11,5 ";"2''-11 ";"64,0 ";"26,0 ";"30,5 ";"46,0 ";"70 ";"B ";"1050517-32-32 ";"125 ";"";"11543 "
