"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Gewinde  Thread  G1 = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"3/8''-18 ";"1/8''-27 ";"23,0 ";"15,3 ";"8,5 ";"19 ";"A ";"1050525-06-02 ";"12,5 ";"";"1927 "
"630 ";"1/2''-14 ";"1/8''-27 ";"27,0 ";"20,0 ";"8,5 ";"24 ";"A ";"1050525-08-02 ";"15,1 ";"";"1928 "
"630 ";"1/2''-14 ";"1/4''-18 ";"27,0 ";"20,0 ";"11,0 ";"24 ";"A ";"1050525-08-04 ";"15,1 ";"";"1929 "
"630 ";"3/4''-14 ";"1/4''-18 ";"28,0 ";"20,0 ";"11,0 ";"27 ";"A ";"1050525-12-04 ";"27,65 ";"";"1930 "
"630 ";"3/4''-14 ";"3/8''-18 ";"28,0 ";"20,0 ";"14,0 ";"27 ";"A ";"1050525-12-06 ";"27,65 ";"";"1931 "
"400 ";"1''-11,5 ";"3/8''-18 ";"34,0 ";"25,0 ";"14,0 ";"36 ";"A ";"1050525-16-06 ";"29,5 ";"";"1932 "
"400 ";"1''-11,5 ";"1/2''-14 ";"34,0 ";"25,0 ";"17,7 ";"36 ";"A ";"1050525-16-08 ";"29,5 ";"";"1933 "
"400 ";"1 1/4''-11,5 ";"3/4''-14 ";"39,5 ";"25,5 ";"23,0 ";"46 ";"A ";"1050525-20-12 ";"47,5 ";"";"1934 "
"400 ";"1 1/2''-11,5 ";"3/4''-14 ";"40,0 ";"26,0 ";"22,5 ";"50 ";"A ";"1050525-24-12 ";"49,9 ";"";"1935 "
"400 ";"1 1/2''-11,5 ";"1''-11,5 ";"40,0 ";"26,0 ";"28,5 ";"50 ";"A ";"1050525-24-16 ";"49,9 ";"";"1936 "
"315 ";"2''-11,5 ";"1''-11,5 ";"40,0 ";"26,0 ";"28,5 ";"65 ";"A ";"1050525-32-16 ";"75 ";"";"1937 "
"315 ";"2''-11,5 ";"1 1/4''-11,5 ";"40,0 ";"26,0 ";"37,2 ";"65 ";"A ";"1050525-32-20 ";"98 ";"";"12197 "
"315 ";"2''-11,5 ";"1 1/2''-11,5 ";"40,0 ";"26,0 ";"43,2 ";"65 ";"A ";"1050525-32-24 ";"98 ";"";"11236 "
