"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Gewinde  Thread  G1 = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"1/8''-27 ";"1/8''-27 ";"25,0 ";"10,0 ";"12,0 ";"4,0 ";"14 ";"B ";"1050525-02-02 ";"12,3 ";"";"1938 "
"630 ";"1/8''-27 ";"1/4''-18 ";"31,0 ";"10,0 ";"17,5 ";"4,0 ";"19 ";"B ";"1050525-02-04 ";"12,3 ";"";"1939 "
"630 ";"1/4''-18 ";"1/8''-27 ";"30,0 ";"15,0 ";"14,0 ";"6,0 ";"14 ";"B ";"1050525-04-02 ";"12,3 ";"";"1940 "
"630 ";"1/4''-18 ";"1/4''-18 ";"36,0 ";"15,0 ";"17,5 ";"6,0 ";"19 ";"B ";"1050525-04-04 ";"12,3 ";"";"1941 "
"630 ";"1/4''-18 ";"3/8''-18 ";"37,0 ";"15,0 ";"18,0 ";"6,0 ";"24 ";"B ";"1050525-04-06 ";"13,1 ";"";"1942 "
"630 ";"1/4''-18 ";"1/2''-14 ";"42,0 ";"15,0 ";"23,0 ";"6,0 ";"27 ";"B ";"1050525-04-08 ";"15,5 ";"";"1943 "
"630 ";"3/8''-18 ";"1/4''-18 ";"36,0 ";"15,0 ";"17,5 ";"9,0 ";"19 ";"B ";"1050525-06-04 ";"12,5 ";"";"1944 "
"630 ";"3/8''-18 ";"3/8''-18 ";"37,0 ";"15,0 ";"17,5 ";"9,0 ";"24 ";"B ";"1050525-06-06 ";"15,1 ";"";"1945 "
"630 ";"3/8''-18 ";"1/2''-14 ";"41,0 ";"15,0 ";"23,0 ";"9,0 ";"27 ";"B ";"1050525-06-08 ";"15,5 ";"";"1946 "
"630 ";"1/2''-14 ";"3/8''-18 ";"39,5 ";"20,0 ";"17,5 ";"12,0 ";"24 ";"B ";"1050525-08-06 ";"15,5 ";"";"1947 "
"630 ";"1/2''-14 ";"1/2''-14 ";"46,0 ";"20,0 ";"23,0 ";"12,0 ";"27 ";"B ";"1050525-08-08 ";"15,9 ";"";"1948 "
"630 ";"1/2''-14 ";"3/4''-14 ";"48,0 ";"20,0 ";"23,0 ";"12,0 ";"36 ";"B ";"1050525-08-12 ";"27,65 ";"";"1949 "
"630 ";"3/4''-14 ";"1/2''-14 ";"42,0 ";"20,0 ";"25,0 ";"15,0 ";"27 ";"B ";"1050525-12-08 ";"24,2 ";"";"1950 "
"630 ";"3/4''-14 ";"3/4''-14 ";"48,0 ";"20,0 ";"23,0 ";"18,0 ";"36 ";"B ";"1050525-12-12 ";"27,65 ";"";"1951 "
"400 ";"3/4''-14 ";"1''-11,5 ";"50,0 ";"20,0 ";"25,0 ";"18,0 ";"36 ";"B ";"1050525-12-16 ";"35 ";"";"1952 "
"400 ";"1''-11,5 ";"3/4''-14 ";"34,0 ";"25,0 ";"23,0 ";"22,6 ";"36 ";"B ";"1050525-16-12 ";"32,5 ";"";"1953 "
"400 ";"1''-11,5 ";"1''-11,5 ";"57,0 ";"25,0 ";"27,5 ";"21,0 ";"41 ";"B ";"1050525-16-16 ";"35 ";"";"1954 "
"400 ";"1''-11,5 ";"1 1/4''-11,5 ";"57,0 ";"25,0 ";"27,0 ";"21,0 ";"50 ";"B ";"1050525-16-20 ";"77 ";"";"1955 "
"400 ";"1 1/4''-11,5 ";"1''-11,5 ";"54,0 ";"25,5 ";"28,0 ";"28,5 ";"46 ";"B ";"1050525-20-16 ";"47,5 ";"";"1956 "
"400 ";"1 1/4''-11,5 ";"1 1/4''-11,5 ";"55,0 ";"25,5 ";"27,0 ";"30,0 ";"50 ";"B ";"1050525-20-20 ";"74 ";"";"1957 "
"400 ";"1 1/4''-11,5 ";"1 1/2''-11,5 ";"62,5 ";"25,5 ";"28,5 ";"30,0 ";"55 ";"B ";"1050525-20-24 ";"98 ";"";"1958 "
"400 ";"1 1/2''-11,5 ";"1 1/4''-11,5 ";"55,0 ";"26,0 ";"27,0 ";"36,0 ";"50 ";"B ";"1050525-24-20 ";"79,8 ";"";"1959 "
"400 ";"1 1/2''-11,5 ";"1 1/2''-11,5 ";"63,0 ";"26,0 ";"28,5 ";"36,0 ";"55 ";"B ";"1050525-24-24 ";"79,8 ";"";"1960 "
"315 ";"1 1/2''-11,5 ";"2''-11,5 ";"64,0 ";"26,0 ";"28,5 ";"36,0 ";"70 ";"B ";"1050525-24-32 ";"139 ";"";"1961 "
