"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"11 ";"12,0 ";"14 ";"1050513-02 ";"7 ";"";"1840 "
"400 ";"1/4''-19 ";"15 ";"9,0 ";"17 ";"1050513-04 ";"6,15 ";"";"1841 "
"400 ";"3/8''-19 ";"15 ";"12,4 ";"19 ";"1050513-06 ";"7 ";"";"1842 "
"400 ";"1/2''-14 ";"17 ";"16,4 ";"27 ";"1050513-08 ";"8,35 ";"";"1843 "
"400 ";"5/8''-14 ";"16 ";"22,0 ";"27 ";"1050513-10 ";"14,5 ";"";"1844 "
"400 ";"3/4''-14 ";"19 ";"21,3 ";"32 ";"1050513-12 ";"13 ";"";"1845 "
"400 ";"1''-11 ";"20 ";"27,8 ";"41 ";"1050513-16 ";"20,2 ";"";"1846 "
"200 ";"1 1/4''-11 ";"22 ";"36,0 ";"50 ";"1050513-20 ";"32,35 ";"";"1847 "
"200 ";"1 1/2''-11 ";"25 ";"45,0 ";"55 ";"1050513-24 ";"52,55 ";"";"1848 "
"100 ";"2''-11 ";"31 ";"54,5 ";"70 ";"1050513-32 ";"88,7 ";"";"1849 "
