"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"14,0 ";"8 ";"14 ";"1050514-02 ";"4,05 ";"";"1850 "
"400 ";"1/4''-19 ";"17,0 ";"10 ";"19 ";"1050514-04 ";"4,05 ";"";"1851 "
"400 ";"3/8''-19 ";"20,5 ";"12 ";"22 ";"1050514-06 ";"5,15 ";"";"1852 "
"400 ";"1/2''-14 ";"24,0 ";"14 ";"27 ";"1050514-08 ";"6,5 ";"";"1853 "
"400 ";"5/8''-14 ";"24,0 ";"14 ";"30 ";"1050514-10 ";"15,5 ";"";"1854 "
"400 ";"3/4''-14 ";"27,0 ";"16 ";"32 ";"1050514-12 ";"8,5 ";"";"1855 "
"400 ";"1''-11 ";"31,0 ";"18 ";"41 ";"1050514-16 ";"12,7 ";"";"1856 "
"200 ";"1 1/4''-11 ";"33,0 ";"20 ";"50 ";"1050514-20 ";"23,3 ";"";"1857 "
"200 ";"1 1/2''-11 ";"36,0 ";"22 ";"55 ";"1050514-24 ";"35,3 ";"";"1858 "
"100 ";"2''-11 ";"36,0 ";"22 ";"70 ";"1050514-32 ";"43 ";"";"1859 "
