"Druck  Pressure  PN";"Gewinde  Thread  G1";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"M 18 x 1,5 ";"1/2'' ";"34 ";"14 ";"11 ";"10 ";"27 ";"0226820-08-06 ";"13,5 ";"";"1450 "
"250 ";"M 22 x 1,5 ";"1/2'' ";"35 ";"14 ";"12 ";"11 ";"27 ";"0226820-08 ";"13,5 ";"";"1451 "
"250 ";"M 26 x 1,5 ";"1/2'' ";"38 ";"14 ";"12 ";"14 ";"27 ";"0226820-08-10 ";"13,5 ";"";"1452 "
"160 ";"M 30 x 1,5 ";"1/2'' ";"36 ";"14 ";"12 ";"12 ";"32 ";"0226820-08-12 ";"17,95 ";"";"1453 "
"160 ";"M 26 x 1,5 ";"3/4'' ";"38 ";"16 ";"12 ";"15 ";"32 ";"0226820-12-10 ";"17,2 ";"";"1454 "
"160 ";"M 30 x 1,5 ";"3/4'' ";"39 ";"16 ";"14 ";"20 ";"32 ";"0226820-12 ";"15,3 ";"";"1455 "
"160 ";"M 30 x 1,5 ";"1'' ";"41 ";"18 ";"14 ";"20 ";"41 ";"0226821-16-12 ";"28,3 ";"";"1456 "
"160 ";"M 38 x 1,5 ";"1'' ";"41 ";"18 ";"14 ";"24 ";"41 ";"0226825-16 ";"25,3 ";"";"1457 "
"100 ";"M 38 x 1,5 ";"1 1/4'' ";"44 ";"20 ";"14 ";"25 ";"50 ";"0226826-20-16 ";"40,5 ";"";"1458 "
"100 ";"M 45 x 1,5 ";"1 1/4'' ";"46 ";"20 ";"16 ";"32 ";"50 ";"0226832-20 ";"35,5 ";"";"1459 "
"100 ";"M 45 x 1,5 ";"1 1/2'' ";"49 ";"22 ";"16 ";"32 ";"55 ";"0226833-24-20 ";"55,5 ";"";"1460 "
"100 ";"M 52 x 1,5 ";"1 1/2'' ";"49 ";"22 ";"16 ";"39 ";"55 ";"0226840-24 ";"45,5 ";"";"1461 "
"50 ";"M 65 x 2 ";"2'' ";"54 ";"24 ";"17 ";"45 ";"70 ";"0226850-32 ";"69,7 ";"";"1462 "
"50 ";"M 78 x 2 ";"2 1/2'' ";"57 ";"26 ";"17 ";"56 ";"85 ";"0226860-40 ";"204,55 ";"";"1463 "
"50 ";"M 100 x 2 ";"3'' ";"68 ";"28 ";"22 ";"76 ";"105 ";"0226880-48 ";"450 ";"";"1464 "
