"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,0 ";"8 ";"8 ";"4,0 ";"14 ";"1050710-02-02 ";"6 ";"A ";"1479 "
"400 ";"1/4''-19 ";"1/4''-19 ";"30,0 ";"10 ";"12 ";"6,0 ";"19 ";"1050710-04-04 ";"5,37 ";"A ";"1480 "
"400 ";"3/8''-19 ";"3/8''-19 ";"32,5 ";"12 ";"12 ";"9,0 ";"22 ";"1050710-06-06 ";"6,75 ";"A ";"1481 "
"400 ";"1/2''-14 ";"1/2''-14 ";"37,0 ";"14 ";"14 ";"12,5 ";"27 ";"1050710-08-08 ";"9,18 ";"A ";"1482 "
"400 ";"3/4''-14 ";"3/4''-14 ";"47,0 ";"16 ";"19 ";"17,5 ";"32 ";"1050710-12-12 ";"12,45 ";"A ";"1483 "
"400 ";"1''-11 ";"1''-11 ";"49,0 ";"18 ";"18 ";"22,0 ";"41 ";"1050710-16-16 ";"19,4 ";"A ";"1484 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"54,5 ";"20 ";"20 ";"29,0 ";"50 ";"1050710-20-20 ";"36 ";"A ";"1485 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"58,5 ";"22 ";"22 ";"37,0 ";"55 ";"1050710-24-24 ";"51,85 ";"A ";"1486 "
"100 ";"2''-11 ";"2''-11 ";"66,0 ";"25 ";"26 ";"45,0 ";"70 ";"1050710-32-32 ";"99 ";"A ";"1487 "
"400 ";"1/4''-19 ";"1/8''-28 ";"26,0 ";"10 ";"8 ";"4,0 ";"19 ";"1050710-04-02 ";"6,95 ";"B ";"1488 "
"400 ";"1/4''-19 ";"3/8''-19 ";"32,0 ";"10 ";"12 ";"7,0 ";"19 ";"1050710-04-06 ";"8,45 ";"B ";"1489 "
"400 ";"1/4''-19 ";"1/2''-14 ";"34,0 ";"10 ";"14 ";"6,0 ";"22 ";"1050710-04-08 ";"10,35 ";"B ";"1490 "
"400 ";"3/8''-19 ";"1/4''-19 ";"33,0 ";"12 ";"12 ";"7,0 ";"22 ";"1050710-06-04 ";"8,45 ";"B ";"1491 "
"400 ";"3/8''-19 ";"1/2''-14 ";"42,0 ";"12 ";"19 ";"9,0 ";"22 ";"1050710-06-08 ";"10,3 ";"B ";"1492 "
"400 ";"1/2''-14 ";"3/8''-19 ";"37,0 ";"14 ";"12 ";"9,0 ";"27 ";"1050710-08-06 ";"10,3 ";"B ";"1493 "
"400 ";"1/2''-14 ";"3/4''-14 ";"45,0 ";"14 ";"19 ";"12,5 ";"27 ";"1050710-08-12 ";"15,65 ";"B ";"1494 "
"400 ";"3/4''-14 ";"1/2''-14 ";"45,0 ";"16 ";"19 ";"12,5 ";"32 ";"1050710-12-08 ";"15,95 ";"B ";"1495 "
"400 ";"3/4''-14 ";"1''-14 ";"45,0 ";"16 ";"18 ";"17,5 ";"36 ";"1050710-12-16 ";"19,5 ";"B ";"1496 "
