"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,0 ";"8 ";"8 ";"4,5 ";"14 ";"1050521-02-02 ";"5,95 ";"";"1508 "
"400 ";"1/4''-19 ";"1/4''-19 ";"29,0 ";"10 ";"10 ";"6,0 ";"19 ";"1050521-04-04 ";"6,1 ";"";"1509 "
"400 ";"3/8''-19 ";"3/8''-19 ";"35,0 ";"12 ";"12 ";"9,0 ";"22 ";"1050521-06-06 ";"6,75 ";"";"1510 "
"400 ";"1/2''-14 ";"1/2''-14 ";"41,0 ";"14 ";"14 ";"13,0 ";"27 ";"1050521-08-08 ";"9,35 ";"";"1511 "
"400 ";"5/8''-14 ";"5/8''-14 ";"43,5 ";"16 ";"16 ";"14,5 ";"30 ";"1050521-10-10 ";"18,75 ";"";"1512 "
"400 ";"3/4''-14 ";"3/4''-14 ";"46,0 ";"16 ";"16 ";"18,0 ";"32 ";"1050521-12-12 ";"14,75 ";"";"1513 "
"400 ";"1''-11 ";"1''-11 ";"52,0 ";"18 ";"18 ";"23,5 ";"41 ";"1050521-16-16 ";"23,15 ";"";"1514 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"58,0 ";"20 ";"20 ";"30,0 ";"50 ";"1050521-20-20 ";"32,9 ";"";"1515 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"61,0 ";"22 ";"22 ";"37,0 ";"55 ";"1050521-24-24 ";"42,95 ";"";"1516 "
"100 ";"2''-11 ";"2''-11 ";"67,0 ";"25 ";"25 ";"45,0 ";"70 ";"1050521-32-32 ";"89,7 ";"";"1517 "
"70 ";"2 1/2''-11 ";"2 1/2''-11 ";"70,0 ";"26 ";"26 ";"51,0 ";"90 ";"1050521-40-40 ";"172,5 ";"";"1518 "
