"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"7/16''-20 ";"29,0 ";"14,0 ";"4,0 ";"4,0 ";"17 ";"12 ";"A ";"2252511-04-04 ";"11,3 ";"";"2163 "
"350 ";"6 ";"1/4'' ";"1/2''-20 ";"7/16''-20 ";"29,0 ";"14,0 ";"4,0 ";"4,0 ";"17 ";"12 ";"A ";"2252511-05-04 ";"12,9 ";"";"11247 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-20 ";"30,0 ";"14,0 ";"5,0 ";"5,0 ";"17 ";"14 ";"A ";"2252511-05-05 ";"11,5 ";"";"2164 "
"350 ";"8 ";"5/16'' ";"9/16''-18 ";"1/2''-20 ";"30,7 ";"14,0 ";"5,0 ";"5,0 ";"19 ";"14 ";"A ";"2252511-06-05 ";"12,9 ";"";"12169 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"9/16''-18 ";"30,7 ";"14,0 ";"6,5 ";"6,5 ";"19 ";"17 ";"A ";"2252511-06-06 ";"11,9 ";"";"2165 "
"350 ";"12 ";"1/2'' ";"9/16''-18 ";"3/4''-16 ";"34,5 ";"17,0 ";"9,5 ";"7,0 ";"19 ";"22 ";"A ";"2252511-06-08 ";"21,5 ";"";"2166 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-16 ";"35,5 ";"17,0 ";"9,5 ";"9,5 ";"24 ";"22 ";"A ";"2252511-08-08 ";"19,1 ";"";"2167 "
"350 ";"14, 15, 16 ";"5/8'' ";"3/4''-16 ";"7/8''-14 ";"39,4 ";"19,5 ";"12,0 ";"10,0 ";"24 ";"24 ";"A ";"2252511-08-10 ";"24,9 ";"";"2168 "
"280 ";"25 ";"1'' ";"3/4''-16 ";"1 5/16''-12 ";"44,0 ";"23,0 ";"21,0 ";"9,5 ";"24 ";"36 ";"A ";"2252511-08-16 ";"45,95 ";"";"11764 "
"350 ";"12 ";"1/2'' ";"7/8''-14 ";"3/4''-16 ";"36,5 ";"17,0 ";"9,5 ";"11,0 ";"27 ";"22 ";"A ";"2252511-10-08 ";"16,11 ";"";"2169 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"7/8''-14 ";"40,5 ";"19,5 ";"12,0 ";"12,0 ";"27 ";"24 ";"A ";"2252511-10-10 ";"21,5 ";"";"2170 "
"350 ";"18, 20 ";"3/4'' ";"7/8''-14 ";"1 1/16''-12 ";"45,5 ";"22,0 ";"15,0 ";"12,0 ";"27 ";"27 ";"A ";"2252511-10-12 ";"22,5 ";"";"2171 "
"350 ";"14, 15, 16 ";"5/8'' ";"1 1/16''-12 ";"7/8''-14 ";"40,6 ";"19,5 ";"12,0 ";"15,0 ";"32 ";"27 ";"A ";"2252511-12-10 ";"22,9 ";"";"2172 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1 1/16''-12 ";"45,6 ";"22,0 ";"15,0 ";"15,0 ";"32 ";"32 ";"A ";"2252511-12-12 ";"29,1 ";"";"2173 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1 5/16''-12 ";"48,7 ";"23,0 ";"21,0 ";"21,0 ";"41 ";"36 ";"A ";"2252511-16-16 ";"41,5 ";"";"2174 "
"210 ";"28, 30, 32 ";"1 1/2'' ";"1 5/16''-12 ";"1 5/8''-12 ";"53,0 ";"24,3 ";"26,5 ";"19,0 ";"50 ";"46 ";"A ";"2252511-16-20 ";"67,95 ";"";"2175 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 5/8''-12 ";"56,0 ";"24,3 ";"27,5 ";"27,5 ";"50 ";"46 ";"A ";"2252511-20-20 ";"67,5 ";"";"2176 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 7/8''-12 ";"60,0 ";"27,5 ";"33,0 ";"33,0 ";"55 ";"50 ";"A ";"2252511-24-24 ";"75 ";"";"2177 "
"150 ";"35, 38 ";"1 1/2'' ";"2 1/2''-12 ";"1 7/8''-12 ";"66,5 ";"27,5 ";"32,0 ";"44,0 ";"70 ";"65 ";"A ";"2252511-32-24 ";"198 ";"";"2178 "
