"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"21,0 ";"4,0 ";"17 ";"3252511-04-04 ";"9,8 ";"";"2464 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"21,0 ";"5,0 ";"17 ";"3252511-05-05 ";"9,8 ";"";"2465 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"24,0 ";"7,0 ";"19 ";"3252511-06-06 ";"12,25 ";"";"2466 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"25,5 ";"10,0 ";"24 ";"3252511-08-08 ";"14,3 ";"";"2467 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"30,0 ";"12,0 ";"27 ";"3252511-10-10 ";"20,65 ";"";"2468 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"30,0 ";"15,0 ";"32 ";"3252511-12-12 ";"27,7 ";"";"2469 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"35,0 ";"21,0 ";"41 ";"3252511-16-16 ";"42,95 ";"";"2470 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"35,0 ";"27,5 ";"50 ";"3252511-20-20 ";"71,15 ";"";"2471 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"40,0 ";"33,0 ";"55 ";"3252511-24-24 ";"96,85 ";"";"2472 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"55,0 ";"45,0 ";"70 ";"3252511-32-32 ";"260 ";"";"11762 "
