"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"22,5 ";"16,7 ";"4,0 ";"17 ";"12 ";"1252516-04-04-04 ";"28,9 ";"";"2327 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"24,0 ";"17,5 ";"5,5 ";"17 ";"14 ";"1252516-05-05-05 ";"28,9 ";"";"2328 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"27,0 ";"22,3 ";"7,5 ";"19 ";"14 ";"1252516-06-06-06 ";"30,4 ";"";"2329 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"31,0 ";"24,5 ";"10,0 ";"24 ";"22 ";"1252516-08-08-08 ";"41,75 ";"";"2330 "
"350 ";"14,15,16 ";"5/8'' ";"7/8''-14 UNF ";"37,5 ";"29,5 ";"12,0 ";"27 ";"24 ";"1252516-10-10-10 ";"46,25 ";"";"2331 "
"350 ";"18,20 ";"3/4'' ";"1 1/16''-12 UN ";"42,0 ";"31,0 ";"15,5 ";"32 ";"24 ";"1252516-12-12-12 ";"55,25 ";"";"2332 "
"350 ";"25 ";"1'' ";"1 5/16''-12 UN ";"46,0 ";"35,7 ";"21,5 ";"41 ";"36 ";"1252516-16-16-16 ";"70,75 ";"";"2333 "
"210 ";"28,30,32 ";"1 1/4'' ";"1 5/8''-12 UN ";"52,5 ";"42,8 ";"27,5 ";"50 ";"41 ";"1252516-20-20-20 ";"121 ";"";"2334 "
"170 ";"35,38 ";"1 1/2'' ";"1 7/8''-12 UN ";"59,9 ";"47,2 ";"33,0 ";"55 ";"50 ";"1252516-24-24-24 ";"148,5 ";"";"2335 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"77,5 ";"62,1 ";"45,0 ";"70 ";"65 ";"1252516-32-32-32 ";"498 ";"";"11264 "
