"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"18,0 ";"15,0 ";"4,0 ";"17 ";"14 ";"1252522-04-04 ";"35,25 ";"";"2309 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"20,0 ";"16,0 ";"5,5 ";"17 ";"14 ";"1252522-05-05 ";"32,1 ";"";"2310 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"21,0 ";"19,0 ";"7,5 ";"19 ";"14 ";"1252522-06-06 ";"40,2 ";"";"2311 "
"350 ";"12 ";"1/2'' ";"3/4''-16  ";"25,0 ";"22,0 ";"10,0 ";"24 ";"19 ";"1252522-08-08 ";"49,05 ";"";"2312 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"28,0 ";"24,0 ";"12,0 ";"27 ";"24 ";"1252522-10-10 ";"53 ";"";"2313 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"33,0 ";"24,0 ";"15,5 ";"32 ";"27 ";"1252522-12-12 ";"62,6 ";"";"2314 "
"250 ";"25 ";"1'' ";"1 5/16''-12  ";"37,0 ";"29,0 ";"21,5 ";"41 ";"36 ";"1252522-16-16 ";"95,3 ";"";"2315 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12  ";"40,0 ";"36,0 ";"27,5 ";"50 ";"50 ";"1252522-20-20 ";"144 ";"";"2316 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12  ";"45,0 ";"39,0 ";"33,0 ";"60 ";"50 ";"1252522-24-24 ";"188 ";"";"2317 "
"150 ";"50 ";"2'' ";"2 1/2''-12 ";"56,5 ";"50,1 ";"45,0 ";"70 ";"65 ";"1252522-32-32 ";"749 ";"";"11262 "
