"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"52,5 ";"14,0 ";"31,5 ";"4,0 ";"17 ";"1252513-04-04 ";"9,98 ";"";"2224 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"52,5 ";"14,0 ";"31,5 ";"6,0 ";"19 ";"1252513-05-05 ";"10,3 ";"";"2225 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"55,5 ";"14,0 ";"33,0 ";"7,5 ";"22 ";"1252513-06-06 ";"11,73 ";"";"2226 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"62,0 ";"16,5 ";"37,0 ";"10,0 ";"24 ";"1252513-08-08 ";"13,85 ";"";"2227 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"69,5 ";"19,0 ";"40,5 ";"12,0 ";"30 ";"1252513-10-10 ";"18,95 ";"";"2228 "
"350 ";"18,20 ";"3/4'' ";"1 1/16''-12 UN ";"78,5 ";"21,5 ";"45,0 ";"15,5 ";"36 ";"1252513-12-12 ";"25,8 ";"";"2229 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"80,0 ";"23,1 ";"44,4 ";"21,5 ";"41 ";"1252513-16-16 ";"39,95 ";"";"2230 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"84,0 ";"24,3 ";"45,7 ";"27,5 ";"50 ";"1252513-20-20 ";"52,5 ";"";"2231 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"89,5 ";"27,5 ";"46,0 ";"33,0 ";"55 ";"1252513-24-24 ";"77,25 ";"";"2232 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"106,5 ";"33,9 ";"53,0 ";"45,0 ";"70 ";"1252513-32-32 ";"249 ";"";"2233 "
