"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"7/16''-20 UNF ";"6,4 ";"17 ";"1252523-04 ";"2,9 ";"";"11252 "
"1/2''-20 UNF ";"6,4 ";"19 ";"1252523-05 ";"3,5 ";"";"11253 "
"9/16''-18 UNF ";"6,9 ";"22 ";"1252523-06 ";"3,8 ";"";"11254 "
"3/4''-16 UNF ";"7,9 ";"24 ";"1252523-08 ";"4,3 ";"";"11255 "
"7/8''-14 UNF ";"9,1 ";"30 ";"1252523-10 ";"6,3 ";"";"11256 "
"1 1/16''-12 UN ";"10,6 ";"36 ";"1252523-12 ";"6,9 ";"";"11257 "
"1 5/16''-12 UN ";"10,4 ";"41 ";"1252523-16 ";"8,5 ";"";"11258 "
"1 5/8''-12 UN ";"10,4 ";"50 ";"1252523-20 ";"13 ";"";"11259 "
"1 7/8''-12 UN ";"10,4 ";"55 ";"1252523-24 ";"17 ";"";"11260 "
"2 1/2''-12 UN ";"10,4 ";"70 ";"1252523-32 ";"37,5 ";"";"11261 "
