"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-28 ";"30,0 ";"8 ";"14,0 ";"3,5 ";"3,5 ";"14 ";"1052510-04-02 ";"5,16 ";"";"2473 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-19 ";"34,0 ";"12 ";"14,0 ";"4,0 ";"4,0 ";"19 ";"1052510-04-04 ";"6,38 ";"";"2474 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-19 ";"34,5 ";"12 ";"14,0 ";"8,0 ";"4,0 ";"22 ";"1052510-04-06 ";"11,25 ";"";"2475 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/2''-14 ";"37,5 ";"14 ";"14,0 ";"11,5 ";"4,0 ";"27 ";"1052510-04-08 ";"12,95 ";"";"2476 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-28 ";"30,0 ";"8 ";"14,0 ";"4,5 ";"4,5 ";"14 ";"1052510-05-02 ";"5,25 ";"";"2477 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-19 ";"34,0 ";"12 ";"14,0 ";"5,0 ";"5,0 ";"19 ";"1052510-05-04 ";"6,45 ";"";"2478 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-19 ";"34,5 ";"12 ";"14,0 ";"8,0 ";"5,0 ";"22 ";"1052510-05-06 ";"7,2 ";"";"2479 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-14 ";"37,5 ";"14 ";"14,0 ";"11,5 ";"5,0 ";"27 ";"1052510-05-08 ";"10,9 ";"";"2480 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-28 ";"30,0 ";"8 ";"14,0 ";"4,5 ";"6,0 ";"17 ";"1052510-06-02 ";"6,5 ";"";"2481 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-19 ";"33,0 ";"10 ";"14,0 ";"6,0 ";"6,0 ";"19 ";"1052510-06-04 ";"6,5 ";"";"2482 "
