"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"7/16''-20 ";"31,0 ";"9,2 ";"14,0 ";"4,5 ";"4,5 ";"17 ";"9,17 x 1,83 ";"1052511-04-04 ";"7,1 ";"";"2513 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-20 ";"31,0 ";"9,2 ";"14,0 ";"6,0 ";"6,0 ";"17 ";"10,25 x 1,83 ";"1052511-05-05 ";"7,1 ";"";"2514 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"9/16''-18 ";"33,0 ";"10,0 ";"14,0 ";"5,0 ";"5,0 ";"19 ";"11,89 x 1,98 ";"1052511-05-06 ";"10,5 ";"";"11639 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"9/16''-18 ";"33,0 ";"10,0 ";"14,0 ";"7,5 ";"7,5 ";"19 ";"11,89 x 1,98 ";"1052511-06-06 ";"7,5 ";"";"2515 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/4''-16 ";"35,5 ";"11,0 ";"14,0 ";"9,5 ";"7,5 ";"24 ";"16,32 x 2,21 ";"1052511-06-08 ";"13,25 ";"";"2516 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"9/16''-18 ";"38,0 ";"10,0 ";"17,0 ";"7,5 ";"7,5 ";"22 ";"11,89 x 1,98 ";"1052511-08-06 ";"";"";"12329 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-16 ";"38,0 ";"11,0 ";"17,0 ";"9,5 ";"9,5 ";"24 ";"16,32 x 2,21 ";"1052511-08-08 ";"10,4 ";"";"2517 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"7/8''-14 ";"40,0 ";"12,7 ";"17,0 ";"12,0 ";"9,5 ";"27 ";"19,18 x 2,46 ";"1052511-08-10 ";"18,7 ";"";"2518 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-16 ";"42,0 ";"11,0 ";"19,5 ";"9,5 ";"12,5 ";"27 ";"16,36 x 2,21 ";"1052511-10-08 ";"24,5 ";"";"11246 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"7/8''-14 ";"43,0 ";"12,7 ";"19,5 ";"12,0 ";"12,0 ";"27 ";"19,18 x 2,46 ";"1052511-10-10 ";"11,6 ";"";"2519 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1 1/16''-12 ";"47,0 ";"15,0 ";"19,5 ";"15,0 ";"12,0 ";"32 ";"23,47 x 2,95 ";"1052511-10-12 ";"25,9 ";"";"2520 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1 1/16''-12 ";"50,0 ";"15,0 ";"22,0 ";"15,0 ";"15,0 ";"32 ";"23,47 x 2,95 ";"1052511-12-12 ";"15,9 ";"";"2521 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1 5/16''-12 ";"51,0 ";"15,0 ";"22,0 ";"21,5 ";"15,0 ";"41 ";"29,74 x 2,95 ";"1052511-12-16 ";"33,5 ";"";"2044 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1 5/16''-12 ";"52,0 ";"15,0 ";"23,0 ";"21,5 ";"21,5 ";"41 ";"29,74 x 2,95 ";"1052511-16-16 ";"24,9 ";"";"2045 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/16''-12 ";"55,0 ";"15,0 ";"24,3 ";"15,0 ";"27,5 ";"46 ";"23,47 x 2,95 ";"1052511-20-12 ";"159,9 ";"";"12168 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 5/8''-12 ";"53,0 ";"15,0 ";"24,3 ";"27,5 ";"27,5 ";"50 ";"37,47 x 3,00 ";"1052511-20-20 ";"50,9 ";"";"2046 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 7/8''-12 ";"56,5 ";"15,0 ";"27,5 ";"33,0 ";"33,0 ";"55 ";"43,69 x 3,00 ";"1052511-24-24 ";"78,9 ";"";"2047 "
"150 ";"50 ";"2'' ";"2 1/2''-12 ";"2 1/2''-12 ";"68,5 ";"15,1 ";"33,9 ";"45,0 ";"45,0 ";"70 ";"59,36 x 3,00 ";"1052511-32-32 ";"259,5 ";"";"12167 "
