"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = keg.";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-28 ";"29,0 ";"14,0 ";"8,0 ";"4,0 ";"4,0 ";"12 ";"1252820-04-02 ";"5,3 ";"";"2101 "
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-19 ";"33,0 ";"14,0 ";"12,0 ";"4,0 ";"4,0 ";"14 ";"1252820-04-04 ";"5,3 ";"";"2102 "
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-19 ";"32,7 ";"14,0 ";"12,0 ";"4,0 ";"9,0 ";"19 ";"1252820-04-06 ";"5,7 ";"";"2103 "
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"1/2''-14 ";"42,0 ";"14,0 ";"20,0 ";"4,0 ";"13,0 ";"22 ";"1252820-04-08 ";"8,65 ";"";"2104 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-28 ";"28,0 ";"14,0 ";"8,0 ";"4,0 ";"4,0 ";"14 ";"1252820-05-02 ";"5,35 ";"";"2105 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-19 ";"33,0 ";"14,0 ";"12,0 ";"5,0 ";"5,0 ";"14 ";"1252820-05-04 ";"5,35 ";"";"2106 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-19 ";"32,7 ";"14,0 ";"12,0 ";"5,0 ";"9,0 ";"19 ";"1252820-05-06 ";"8,5 ";"";"2107 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-28 ";"28,0 ";"14,0 ";"8,0 ";"6,0 ";"4,0 ";"17 ";"1252820-06-02 ";"5,78 ";"";"2108 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-19 ";"31,0 ";"14,0 ";"12,0 ";"6,0 ";"6,0 ";"17 ";"1252820-06-04 ";"5,78 ";"";"2109 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-19 ";"30,7 ";"14,0 ";"12,0 ";"6,0 ";"6,0 ";"19 ";"1252820-06-06 ";"5,78 ";"";"2110 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"37,0 ";"14,0 ";"14,0 ";"7,5 ";"13,0 ";"22 ";"1252820-06-08 ";"7,5 ";"";"2111 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-19 ";"36,0 ";"17,0 ";"12,0 ";"9,0 ";"5,0 ";"19 ";"1252820-08-04 ";"7,2 ";"";"2112 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-19 ";"35,7 ";"17,0 ";"12,0 ";"9,0 ";"9,0 ";"19 ";"1252820-08-06 ";"7,2 ";"";"2113 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"39,7 ";"17,0 ";"14,0 ";"9,5 ";"9,5 ";"22 ";"1252820-08-08 ";"7,85 ";"";"2114 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-14 ";"43,2 ";"17,0 ";"16,0 ";"9,5 ";"17,0 ";"27 ";"1252820-08-12 ";"8,95 ";"";"2115 "
"315 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-19 ";"38,7 ";"19,5 ";"12,0 ";"12,0 ";"9,0 ";"24 ";"1252820-10-06 ";"8,65 ";"";"2116 "
"315 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"42,0 ";"19,5 ";"14,0 ";"12,0 ";"12,0 ";"24 ";"1252820-10-08 ";"9,4 ";"";"2117 "
"160 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"44,2 ";"19,5 ";"16,0 ";"12,0 ";"18,0 ";"27 ";"1252820-10-12 ";"9,9 ";"";"2118 "
