"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-27 ";"31,0 ";"14,0 ";"10,0 ";"4,0 ";"4,0 ";"12 ";"1252810-04-02 ";"5,3 ";"";"2017 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-18 ";"36,0 ";"14,0 ";"15,0 ";"4,0 ";"4,0 ";"17 ";"1252810-04-04 ";"5,3 ";"";"2018 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-18 ";"36,0 ";"14,0 ";"15,3 ";"4,0 ";"9,0 ";"19 ";"1252810-04-06 ";"5,7 ";"";"2019 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/2''-14 ";"42,0 ";"14,0 ";"20,0 ";"4,0 ";"13,0 ";"22 ";"1252810-04-08 ";"8,65 ";"";"2020 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-27 ";"30,0 ";"14,0 ";"10,0 ";"4,0 ";"4,0 ";"14 ";"1252810-05-02 ";"5,35 ";"";"2021 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-18 ";"36,0 ";"14,0 ";"15,0 ";"5,0 ";"5,0 ";"17 ";"1252810-05-04 ";"5,35 ";"";"2022 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-18 ";"36,0 ";"14,0 ";"15,3 ";"5,0 ";"9,0 ";"19 ";"1252810-05-06 ";"8,5 ";"";"2023 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-14 ";"42,0 ";"14,0 ";"20,0 ";"5,0 ";"13,0 ";"22 ";"1252810-05-08 ";"12 ";"";"2024 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-27 ";"30,0 ";"14,0 ";"10,0 ";"6,0 ";"4,0 ";"17 ";"1252810-06-02 ";"5,78 ";"";"2025 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-18 ";"34,0 ";"14,0 ";"15,0 ";"6,0 ";"6,0 ";"17 ";"1252810-06-04 ";"5,78 ";"";"2026 "
