"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G = UNF/UN";"Gewinde  Thread  G1 = keg.";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-28 ";"23,0 ";"20,0 ";"5,0 ";"4,0 ";"12 ";"1252520-04-02 ";"15,4 ";"";"2076 "
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-19 ";"27,0 ";"28,0 ";"7,0 ";"4,0 ";"14 ";"1252520-04-04 ";"15,4 ";"";"2077 "
"315 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-19 ";"27,0 ";"30,0 ";"10,0 ";"4,0 ";"19 ";"1252520-04-06 ";"21,25 ";"";"2078 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-28 ";"24,0 ";"20,0 ";"5,0 ";"6,0 ";"13 ";"1252520-05-02 ";"15,4 ";"";"2079 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-19 ";"27,0 ";"28,0 ";"7,0 ";"6,0 ";"14 ";"1252520-05-04 ";"15,4 ";"";"2080 "
"315 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-19 ";"28,0 ";"30,0 ";"10,0 ";"6,0 ";"19 ";"1252520-05-06 ";"20,95 ";"";"2081 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-28 ";"";"";"";"";"";"1252520-06-02 ";"15,4 ";"";"2082 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-19 ";"27,0 ";"28,0 ";"7,0 ";"8,0 ";"14 ";"1252520-06-04 ";"14,75 ";"";"2083 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-19 ";"29,0 ";"31,0 ";"10,0 ";"8,0 ";"19 ";"1252520-06-06 ";"19,4 ";"";"2084 "
"315 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"31,0 ";"36,0 ";"13,0 ";"7,5 ";"19 ";"1252520-06-08 ";"26,9 ";"";"2085 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-19 ";"32,0 ";"31,0 ";"7,0 ";"10,0 ";"19 ";"1252520-08-04 ";"20,9 ";"";"2086 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-19 ";"32,0 ";"31,0 ";"10,0 ";"10,0 ";"19 ";"1252520-08-06 ";"19,4 ";"";"2087 "
"315 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"32,0 ";"34,0 ";"14,0 ";"10,0 ";"22 ";"1252520-08-08 ";"22,2 ";"";"2088 "
"315 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-19 ";"37,0 ";"33,0 ";"10,0 ";"12,0 ";"22 ";"1252520-10-06 ";"22,4 ";"";"2089 "
"315 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"37,0 ";"37,0 ";"14,0 ";"12,0 ";"24 ";"1252520-10-08 ";"22,4 ";"";"2090 "
"160 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"37,5 ";"41,5 ";"15,5 ";"12,5 ";"24 ";"1252520-10-12 ";"35 ";"";"2091 "
"315 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1/2''-14 ";"42,0 ";"38,0 ";"14,0 ";"15,5 ";"24 ";"1252520-12-08 ";"30,2 ";"";"2092 "
"160 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"42,0 ";"40,0 ";"18,0 ";"16,0 ";"27 ";"1252520-12-12 ";"30,2 ";"";"2093 "
"160 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1''-11 ";"45,0 ";"46,0 ";"24,0 ";"16,0 ";"36 ";"1252520-12-16 ";"55 ";"";"2216 "
"160 ";"25 ";"1'' ";"1 5/16''-12 ";"1/2''-14 ";"";"";"";"";"";"1252520-16-08 ";"55 ";"";"2217 "
"160 ";"25 ";"1'' ";"1 5/16''-12 ";"3/4''-14 ";"46,0 ";"45,0 ";"18,0 ";"22,0 ";"33 ";"1252520-16-12 ";"45,1 ";"";"2218 "
"160 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11 ";"46,0 ";"50,0 ";"24,0 ";"22,0 ";"33 ";"1252520-16-16 ";"42,1 ";"";"2219 "
"160 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11 ";"52,0 ";"60,0 ";"24,0 ";"28,0 ";"41 ";"1252520-20-16 ";"85,5 ";"";"2220 "
"160 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11 ";"52,0 ";"61,0 ";"32,0 ";"28,0 ";"41 ";"1252520-20-20 ";"74,9 ";"";"2221 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/4''-11 ";"";"";"";"";"";"1252520-24-20 ";"139,8 ";"";"2222 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11 ";"64,0 ";"59,0 ";"33,0 ";"33,0 ";"50 ";"1252520-24-24 ";"122,5 ";"";"2223 "
