"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G = UNF/UN";"Gewinde  Thread  G1 = NPT";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-27 ";"23,0 ";"20,0 ";"4,5 ";"4,0 ";"11 ";"1252517-04-02 ";"15,4 ";"";"2048 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-18 ";"28,5 ";"26,5 ";"4,5 ";"4,5 ";"14 ";"1252517-04-04 ";"15,4 ";"";"2049 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-18 ";"29,0 ";"31,0 ";"10,0 ";"4,0 ";"19 ";"1252517-04-06 ";"21,25 ";"";"2050 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-27 ";"24,0 ";"20,0 ";"4,5 ";"6,0 ";"13 ";"1252517-05-02 ";"15,4 ";"";"2051 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-18 ";"27,0 ";"28,0 ";"7,0 ";"6,0 ";"14 ";"1252517-05-04 ";"15,4 ";"";"2052 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-18 ";"29,0 ";"31,0 ";"10,0 ";"6,0 ";"19 ";"1252517-05-06 ";"20,95 ";"";"2053 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-27 ";"27,0 ";"25,0 ";"4,0 ";"7,5 ";"14 ";"1252517-06-02 ";"15,4 ";"";"2054 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-18 ";"27,0 ";"25,0 ";"7,5 ";"7,5 ";"14 ";"1252517-06-04 ";"14,75 ";"";"2055 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-18 ";"27,0 ";"27,0 ";"8,5 ";"7,5 ";"14 ";"1252517-06-06 ";"19,4 ";"";"2056 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"31,0 ";"34,0 ";"13,0 ";"7,5 ";"19 ";"1252517-06-08 ";"26,9 ";"";"2057 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-18 ";"31,0 ";"29,5 ";"7,0 ";"10,0 ";"19 ";"1252517-08-04 ";"20,9 ";"";"2058 "
