"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8'' ";"22,6 ";"26,5 ";"14 ";"12 ";"8 x 2,2 ";"1252530-04-02 ";"28,2 ";"";"2336 "
"200 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4'' ";"22,6 ";"32,0 ";"19 ";"14 ";"10,77 x 2,62 ";"1252530-04-04 ";"28,2 ";"";"2337 "
"200 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4'' ";"26,6 ";"32,0 ";"19 ";"14 ";"10,77 x 2,62 ";"1252530-05-04 ";"28,2 ";"";"2338 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4'' ";"26,9 ";"32,0 ";"19 ";"14 ";"10,77 x 2,62 ";"1252530-06-04 ";"28,5 ";"";"2339 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8'' ";"29,0 ";"37,0 ";"22 ";"19 ";"13,94 x 2,62 ";"1252530-06-06 ";"37,5 ";"";"2340 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2'' ";"31,0 ";"43,0 ";"27 ";"19 ";"17,86 x 2,62 ";"1252530-06-08 ";"44,6 ";"";"2341 "
"200 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8'' ";"31,8 ";"37,0 ";"22 ";"19 ";"13,94 x 2,62 ";"1252530-08-06 ";"40,6 ";"";"2342 "
"200 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2'' ";"33,8 ";"43,0 ";"27 ";"19 ";"17,86 x 2,62 ";"1252530-08-08 ";"44,55 ";"";"2343 "
"200 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2'' ";"36,8 ";"43,0 ";"27 ";"24 ";"17,86 x 2,62 ";"1252530-10-08 ";"44,55 ";"";"2344 "
"200 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1/2'' ";"42,2 ";"49,5 ";"27 ";"27 ";"17,86 x 2,62 ";"1252530-12-08 ";"60,9 ";"";"2345 "
"200 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4'' ";"42,2 ";"49,5 ";"36 ";"27 ";"23,47 x 2,62 ";"1252530-12-12 ";"61,5 ";"";"2346 "
"200 ";"25 ";"1'' ";"1 5/16''-12 ";"1'' ";"46,0 ";"52,0 ";"41 ";"36 ";"29,74 x 3,53 ";"1252530-16-16 ";"89,9 ";"";"2347 "
"160 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4'' ";"52,3 ";"57,0 ";"50 ";"41 ";"37,69 x 3,53 ";"1252530-20-20 ";"157,5 ";"";"2348 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2'' ";"59,2 ";"61,0 ";"55 ";"50 ";"44,04 x 3,53 ";"1252530-24-24 ";"285,5 ";"";"2349 "
