"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-28 ";"25,0 ";"8,0 ";"4,5 ";"4,5 ";"17 ";"14 ";"2052511-04-02 ";"10,1 ";"";"2133 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-18 ";"29,0 ";"12,0 ";"4,5 ";"4,5 ";"17 ";"19 ";"2052511-04-04 ";"10,1 ";"";"2134 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-18 ";"30,5 ";"12,0 ";"7,0 ";"4,5 ";"17 ";"22 ";"2052511-04-06 ";"13,2 ";"";"2135 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-28 ";"25,0 ";"8,0 ";"4,5 ";"4,5 ";"17 ";"14 ";"2052511-05-02 ";"10,1 ";"";"2136 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-18 ";"29,5 ";"12,0 ";"5,0 ";"5,0 ";"17 ";"19 ";"2052511-05-04 ";"10,1 ";"";"2137 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-18 ";"30,5 ";"12,0 ";"7,0 ";"5,0 ";"17 ";"22 ";"2052511-05-06 ";"13,2 ";"";"2138 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-28 ";"26,0 ";"8,0 ";"4,5 ";"4,5 ";"19 ";"14 ";"2052511-06-02 ";"10,9 ";"";"2139 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-18 ";"30,0 ";"12,0 ";"6,0 ";"6,0 ";"19 ";"19 ";"2052511-06-04 ";"10,1 ";"";"2140 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-18 ";"30,0 ";"12,0 ";"7,0 ";"7,0 ";"19 ";"22 ";"2052511-06-06 ";"13,2 ";"";"2141 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"34,0 ";"14,0 ";"12,5 ";"7,0 ";"19 ";"27 ";"2052511-06-08 ";"14,35 ";"";"2142 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-18 ";"31,0 ";"12,0 ";"6,0 ";"9,0 ";"24 ";"19 ";"2052511-08-04 ";"13,5 ";"";"2143 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-18 ";"33,5 ";"12,0 ";"9,0 ";"9,0 ";"24 ";"22 ";"2052511-08-06 ";"13,95 ";"";"2144 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"36,0 ";"14,0 ";"10,0 ";"10,0 ";"24 ";"27 ";"2052511-08-08 ";"16,5 ";"";"2145 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-14 ";"39,0 ";"16,0 ";"15,0 ";"10,0 ";"24 ";"32 ";"2052511-08-12 ";"23,95 ";"";"2146 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-18 ";"34,0 ";"12,0 ";"9,0 ";"12,5 ";"27 ";"22 ";"2052511-10-06 ";"17,65 ";"";"2147 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"34,0 ";"14,0 ";"12,5 ";"12,5 ";"27 ";"27 ";"2052511-10-08 ";"17,8 ";"";"2148 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"5/8''-14 ";"37,5 ";"16,0 ";"14,5 ";"12,0 ";"27 ";"30 ";"2052511-10-10 ";"";"";"2149 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"41,0 ";"16,0 ";"15,0 ";"12,5 ";"27 ";"32 ";"2052511-10-12 ";"23,95 ";"";"2150 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/8''-18 ";"34,0 ";"12,0 ";"9,0 ";"9,0 ";"32 ";"27 ";"2052511-12-06 ";"26,9 ";"";"2151 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1/2''-14 ";"38,0 ";"14,0 ";"12,5 ";"12,5 ";"32 ";"27 ";"2052511-12-08 ";"23,1 ";"";"2152 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"40,0 ";"16,0 ";"15,0 ";"15,0 ";"32 ";"32 ";"2052511-12-12 ";"23,25 ";"";"2153 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1''-11 ";"42,5 ";"18,0 ";"21,0 ";"15,0 ";"32 ";"41 ";"2052511-12-16 ";"42,95 ";"";"2154 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1/2''-14 ";"40,5 ";"14,0 ";"12,5 ";"21,0 ";"41 ";"32 ";"2052511-16-08 ";"47 ";"";"2155 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"3/4''-14 ";"46,5 ";"16,0 ";"15,0 ";"20,0 ";"41 ";"32 ";"2052511-16-12 ";"42,95 ";"";"2156 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11 ";"45,0 ";"18,0 ";"21,0 ";"21,0 ";"41 ";"41 ";"2052511-16-16 ";"42,95 ";"";"2157 "
"210 ";"25 ";"1'' ";"1 5/16''-12 ";"1 1/4''-11 ";"48,0 ";"20,0 ";"29,0 ";"21,0 ";"41 ";"50 ";"2052511-16-20 ";"78,8 ";"";"2158 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11 ";"50,0 ";"18,0 ";"22,0 ";"22,0 ";"50 ";"41 ";"2052511-20-16 ";"89,5 ";"";"2159 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11 ";"53,0 ";"20,0 ";"27,5 ";"27,5 ";"50 ";"50 ";"2052511-20-20 ";"78,8 ";"";"2160 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/4''-11 ";"55,0 ";"20,0 ";"29,0 ";"29,0 ";"55 ";"50 ";"2052511-24-20 ";"115 ";"";"2161 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11 ";"59,0 ";"22,0 ";"33,0 ";"33,0 ";"55 ";"55 ";"2052511-24-24 ";"99,9 ";"";"2162 "
