"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-27 ";"24,0 ";"4,0 ";"17 ";"12 ";"1252518-04-02 ";"15,1 ";"";"2242 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-18 ";"30,0 ";"4,0 ";"17 ";"17 ";"1252518-04-04 ";"15,1 ";"";"2243 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-18 ";"30,0 ";"4,0 ";"17 ";"19 ";"1252518-04-06 ";"20,5 ";"";"2244 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-27 ";"24,0 ";"4,0 ";"17 ";"12 ";"1252518-05-02 ";"15,9 ";"";"2245 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-18 ";"30,0 ";"4,0 ";"17 ";"14 ";"1252518-05-04 ";"15,9 ";"";"2246 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-18 ";"31,0 ";"4,0 ";"17 ";"19 ";"1252518-05-06 ";"20,5 ";"";"2247 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/8''-27 ";"24,5 ";"4,0 ";"19 ";"14 ";"1252518-06-02 ";"15,2 ";"";"2248 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-18 ";"30,0 ";"6,0 ";"19 ";"17 ";"1252518-06-04 ";"15,2 ";"";"2249 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-18 ";"31,5 ";"7,0 ";"19 ";"19 ";"1252518-06-06 ";"15,2 ";"";"2250 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"36,0 ";"7,0 ";"19 ";"22 ";"1252518-06-08 ";"22,9 ";"";"2251 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-18 ";"32,0 ";"6,0 ";"24 ";"17 ";"1252518-08-04 ";"20,95 ";"";"2252 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-18 ";"32,5 ";"9,0 ";"24 ";"19 ";"1252518-08-06 ";"20,3 ";"";"2253 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"39,0 ";"9,0 ";"24 ";"22 ";"1252518-08-08 ";"20,2 ";"";"2254 "
"280 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-14 ";"40,0 ";"10,0 ";"24 ";"27 ";"1252518-08-12 ";"30,4 ";"";"2255 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-18 ";"35,0 ";"9,0 ";"27 ";"22 ";"1252518-10-06 ";"25,9 ";"";"2256 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"40,0 ";"12,0 ";"27 ";"22 ";"1252518-10-08 ";"25 ";"";"2257 "
"280 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"41,0 ";"12,5 ";"27 ";"27 ";"1252518-10-12 ";"27,9 ";"";"2258 "
"280 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1/2''-14 ";"41,0 ";"13,5 ";"32 ";"27 ";"1252518-12-08 ";"28,5 ";"";"2259 "
"280 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"41,0 ";"15,0 ";"32 ";"27 ";"1252518-12-12 ";"28,5 ";"";"2260 "
"280 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1''-11,5 ";"46,0 ";"15,0 ";"32 ";"36 ";"1252518-12-16 ";"44,5 ";"";"2261 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1/2''-14 ";"";"";"";"";"1252518-16-08 ";"";"";"2262 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"3/4''-14 ";"45,0 ";"18,0 ";"41 ";"32 ";"1252518-16-12 ";"44,9 ";"";"2263 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11,5 ";"48,0 ";"21,0 ";"41 ";"36 ";"1252518-16-16 ";"41,9 ";"";"2264 "
"210 ";"25 ";"1'' ";"1 5/16''-12 ";"1 1/4''-11,5 ";"52,0 ";"21,0 ";"41 ";"46 ";"1252518-16-20 ";"69 ";"";"2265 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11,5 ";"48,5 ";"21,0 ";"50 ";"41 ";"1252518-20-16 ";"60,2 ";"";"2266 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11,5 ";"52,0 ";"27,5 ";"50 ";"46 ";"1252518-20-20 ";"60,2 ";"";"2267 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/2''-11,5 ";"";"";"50 ";"";"1252518-20-24 ";"";"";"2268 "
