"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-27 ";"18,5 ";"20,0 ";"4,5 ";"17 ";"12 ";"1252519-04-02 ";"16,25 ";"";"2272 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-18 ";"18,5 ";"25,0 ";"4,5 ";"17 ";"14 ";"1252519-04-04 ";"16,25 ";"";"2273 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"3/8''-18 ";"";"";"";"17 ";"";"1252519-04-06 ";"";"";"2274 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-27 ";"";"";"";"17 ";"";"1252519-05-02 ";"17,9 ";"";"2275 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-18 ";"18,5 ";"25,0 ";"6,0 ";"17 ";"14 ";"1252519-05-04 ";"17,9 ";"";"2276 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"3/8''-18 ";"";"";"";"17 ";"";"1252519-05-06 ";"";"";"2277 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-18 ";"22,3 ";"25,0 ";"7,5 ";"19 ";"14 ";"1252519-06-04 ";"17,9 ";"";"2278 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-18 ";"22,3 ";"27,0 ";"7,5 ";"19 ";"14 ";"1252519-06-06 ";"17,9 ";"";"2279 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"";"";"";"19 ";"";"1252519-06-08 ";"";"";"2280 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-18 ";"24,5 ";"29,5 ";"10,0 ";"24 ";"19 ";"1252519-08-04 ";"24,5 ";"";"2281 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-18 ";"24,5 ";"29,5 ";"10,0 ";"24 ";"19 ";"1252519-08-06 ";"23,95 ";"";"2282 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"24,5 ";"34,0 ";"10,0 ";"24 ";"19 ";"1252519-08-08 ";"23,25 ";"";"2283 "
"280 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-14 ";"";"";"";"24 ";"";"1252519-08-12 ";"";"";"2284 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/8''-18 ";"29,5 ";"37,0 ";"12,0 ";"27 ";"24 ";"1252519-10-06 ";"26,95 ";"";"2285 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"29,5 ";"38,0 ";"12,0 ";"27 ";"24 ";"1252519-10-08 ";"26,75 ";"";"2286 "
"280 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"3/4''-14 ";"29,5 ";"41,5 ";"12,0 ";"27 ";"24 ";"1252519-10-12 ";"28,9 ";"";"2287 "
"280 ";"18,20 ";"3/4'' ";"1 1/16''-12 ";"1/2''-14 ";"31,0 ";"38,0 ";"15,5 ";"32 ";"24 ";"1252519-12-08 ";"33,75 ";"";"2288 "
"280 ";"18,20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"31,0 ";"41,5 ";"15,5 ";"32 ";"24 ";"1252519-12-12 ";"33,75 ";"";"2289 "
"280 ";"18,20 ";"3/4'' ";"1 1/16''-12 ";"1''-11,5 ";"";"";"";"32 ";"";"1252519-12-16 ";"";"";"2290 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"3/4''-14 ";"37,0 ";"46,0 ";"21,0 ";"41 ";"36 ";"1252519-16-12 ";"52,9 ";"";"2291 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11,5 ";"37,0 ";"46,0 ";"21,0 ";"41 ";"36 ";"1252519-16-16 ";"47,5 ";"";"2292 "
"210 ";"25 ";"1'' ";"1 5/16''-12 ";"1 1/4''-11,5 ";"";"";"";"41 ";"";"1252519-16-20 ";"";"";"2293 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11,5 ";"";"";"";"50 ";"";"1252519-20-16 ";"";"";"2294 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11,5 ";"42,8 ";"57,0 ";"27,5 ";"50 ";"41 ";"1252519-20-20 ";"63,25 ";"";"2295 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/2''-11,5 ";"";"";"";"50 ";"";"1252519-20-24 ";"";"";"2296 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/4''-11,5 ";"";"";"";"55 ";"";"1252519-24-20 ";"";"";"2297 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11,5 ";"47,2 ";"63,0 ";"33,0 ";"55 ";"50 ";"1252519-24-24 ";"117,85 ";"";"2298 "
