"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8''-28 ";"30,0 ";"14,0 ";"4,5 ";"14 ";"1252532-04-02 ";"10,3 ";"";"2378 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-19 ";"35,0 ";"14,0 ";"4,5 ";"19 ";"1252532-04-04 ";"10,3 ";"";"2379 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8''-28 ";"30,0 ";"14,0 ";"5,0 ";"14 ";"1252532-05-02 ";"13,5 ";"";"2380 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-19 ";"35,0 ";"14,0 ";"6,0 ";"19 ";"1252532-05-04 ";"13,5 ";"";"2381 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-19 ";"35,5 ";"14,0 ";"7,5 ";"19 ";"1252532-06-04 ";"13,5 ";"";"2382 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8''-19 ";"37,0 ";"14,0 ";"7,5 ";"22 ";"1252532-06-06 ";"11,3 ";"";"2383 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"40,0 ";"14,0 ";"7,5 ";"27 ";"1252532-06-08 ";"17 ";"";"12172 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8''-19 ";"39,5 ";"17,0 ";"10,0 ";"22 ";"1252532-08-06 ";"14,9 ";"";"2384 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"45,5 ";"17,0 ";"10,0 ";"27 ";"1252532-08-08 ";"14,9 ";"";"2385 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2''-14 ";"48,0 ";"19,5 ";"12,5 ";"27 ";"1252532-10-08 ";"17 ";"";"2386 "
"315 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4''-14 ";"52,0 ";"22,0 ";"15,5 ";"36 ";"1252532-12-12 ";"23,5 ";"";"2387 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1''-11 ";"59,5 ";"23,0 ";"21,5 ";"41 ";"1252532-16-16 ";"37 ";"";"2388 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11 ";"63,0 ";"24,3 ";"27,5 ";"50 ";"1252532-20-20 ";"53 ";"";"2389 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11 ";"66,5 ";"27,5 ";"33,0 ";"55 ";"1252532-24-24 ";"72,5 ";"";"2390 "
