"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"20,0 ";"12 ";"17 ";"5250011-04 ";"7,87 ";"";"2206 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"22,0 ";"12 ";"17 ";"5250011-05 ";"7,87 ";"";"2207 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"23,0 ";"13 ";"19 ";"5250011-06 ";"9 ";"";"2208 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"25,5 ";"14 ";"24 ";"5250011-08 ";"9,2 ";"";"2209 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"30,0 ";"18 ";"27 ";"5250011-10 ";"11,1 ";"";"2210 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"33,0 ";"18 ";"32 ";"5250011-12 ";"18,1 ";"";"2211 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"36,0 ";"21 ";"41 ";"5250011-16 ";"33,75 ";"";"2212 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"39,5 ";"22 ";"50 ";"5250011-20 ";"43,75 ";"";"2213 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"44,0 ";"24 ";"55 ";"5250011-24 ";"54,8 ";"";"2214 "
"";"50 ";"2'' ";"2 1/2''-12 UN ";"56,0 ";"32 ";"70 ";"5250011-32 ";"117 ";"";"2215 "
