"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"1/4'' ";"7/16''-20 UNF ";"15,5 ";"14 ";"M-37-06-04 ";"3,1 ";"";"2391 "
"8 ";"5/16'' ";"1/2''-20 UNF ";"17,0 ";"17 ";"M-37-08-05 ";"3,35 ";"";"2392 "
"10 ";"3/8'' ";"9/16''-18 UNF ";"18,3 ";"19 ";"M-37-10-06 ";"3,5 ";"";"2393 "
"12 ";"1/2'' ";"3/4''-16 UNF ";"21,3 ";"22 ";"M-37-12-08 ";"4,25 ";"";"2394 "
"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"24,6 ";"27 ";"M-37-16-10 ";"5,85 ";"";"2395 "
"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"25,9 ";"32 ";"M-37-20-12 ";"8,5 ";"";"2396 "
"25 ";"1'' ";"1 5/16''-12 UN ";"28,4 ";"41 ";"M-37-25-16 ";"10,95 ";"";"2397 "
"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"31,0 ";"50 ";"M-37-30-20 ";"18,75 ";"";"2398 "
"35,38 ";"1 1/2'' ";"1 7/8''-12 UN ";"35,8 ";"60 ";"M-37-38-24 ";"33,15 ";"";"2399 "
"50 ";"2'' ";"2 1/2''-12 UN ";"44,2 ";"75 ";"M-37-50-32 ";"135 ";"";"2400 "
