"Rohr A.D.  Tube O.D.  mm";"Ca. Maﬂe  Approx. Dimensions  D1 + Tol.";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"6 ";"10,4 ";"DR-37-06 ";"1,95 ";"";"2401 "
"8 ";"8 ";"11,2 ";"DR-37-08 ";"2,2 ";"";"2402 "
"10 ";"10 ";"12,7 ";"DR-37-10 ";"2,7 ";"";"2403 "
"12 ";"12 ";"14,2 ";"DR-37-12 ";"3 ";"";"2404 "
"14 ";"14 ";"14,0 ";"DR-37-14 ";"4,5 ";"";"2405 "
"15 ";"15 ";"14,0 ";"DR-37-15 ";"4,5 ";"";"2406 "
"16 ";"16 ";"16,8 ";"DR-37-16 ";"4,5 ";"";"2407 "
"18 ";"18 ";"14,5 ";"DR-37-18 ";"5,5 ";"";"2408 "
"20 ";"20 ";"17,3 ";"DR-37-20 ";"5,5 ";"";"2409 "
"25 ";"25 ";"19,8 ";"DR-37-25 ";"9,2 ";"";"2410 "
"28 ";"28 ";"23,0 ";"DR-37-28 ";"11,1 ";"";"2411 "
"30 ";"30 ";"23,1 ";"DR-37-30 ";"11,1 ";"";"2412 "
"32 ";"32 ";"23,0 ";"DR-37-32 ";"11,1 ";"";"2413 "
"35 ";"35 ";"28,4 ";"DR-37-35 ";"18,65 ";"";"2414 "
"38 ";"38 ";"28,4 ";"DR-37-38 ";"18,65 ";"";"2415 "
"50 ";"50 ";"30,2 ";"DR-37-50 ";"32,5 ";"";"2416 "
