"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6,35 ";"1/4'' ";"10,4 ";"6,53 ";"DR-37-1/4'' ";"2,5 ";"";"2417 "
"7,94 ";"5/16'' ";"11,2 ";"8,13 ";"DR-37-5/16'' ";"2,75 ";"";"2418 "
"9,52 ";"3/8'' ";"12,7 ";"9,73 ";"DR-37-3/8'' ";"3,25 ";"";"2419 "
"12,70 ";"1/2'' ";"14,2 ";"12,88 ";"DR-37-1/2'' ";"3,6 ";"";"2420 "
"15,88 ";"5/8'' ";"16,8 ";"16,08 ";"DR-37-5/8'' ";"3,6 ";"";"2421 "
"19,05 ";"3/4'' ";"17,3 ";"19,28 ";"DR-37-3/4'' ";"5,5 ";"";"2422 "
"25,40 ";"1'' ";"19,8 ";"25,6 ";"DR-37-1'' ";"11,5 ";"";"2423 "
"31,75 ";"1 1/4'' ";"23,1 ";"32,05 ";"DR-37-1 1/4'' ";"15 ";"";"2424 "
"38,10 ";"1 1/2'' ";"28,4 ";"38,40 ";"DR-37-1 1/2'' ";"23 ";"";"2425 "
"50,80 ";"2'' ";"30,2 ";"51,21 ";"DR-37-2'' ";"32,5 ";"";"2426 "
