"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"";"35,0 ";"14,0 ";"";"4,5 ";"";"12 ";"1252510-04-04 ";"5,8 ";"";"2427 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"";"35,0 ";"14,0 ";"";"5,0 ";"";"14 ";"1252510-05-05 ";"5,8 ";"";"2428 "
"350 ";"";"";"9/16''-18 UNF ";"7/16''-20 UNF ";"35,0 ";"14,1 ";"14,0 ";"7,5 ";"4,0 ";"17 ";"1252510-06-04 ";"9,37 ";"";"2429 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"";"36,0 ";"14,1 ";"";"7,5 ";"";"17 ";"1252510-06-06 ";"6,25 ";"";"2430 "
"350 ";"";"";"3/4''-16 UNF ";"7/16''-20 UNF ";"38,1 ";"16,7 ";"14,1 ";"9,5 ";"4,5 ";"22 ";"1252510-08-04 ";"12,95 ";"";"11752 "
"350 ";"";"";"3/4''-16 UNF ";"9/16''-18 UNF ";"38,1 ";"16,7 ";"14,1 ";"9,5 ";"7,5 ";"22 ";"1252510-08-06 ";"11,17 ";"";"2431 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"";"41,0 ";"16,7 ";"";"9,5 ";"";"22 ";"1252510-08-08 ";"7,45 ";"";"2432 "
"350 ";"";"";"7/8''-14 UNF ";"7/16''-20 UNF ";"41,0 ";"19,3 ";"14,0 ";"12,5 ";"4,5 ";"24 ";"1252510-10-04 ";"16,95 ";"";"11753 "
"350 ";"";"";"7/8''-14 UNF ";"9/16''-18 UNF ";"41,0 ";"19,3 ";"14,1 ";"12,5 ";"7,5 ";"24 ";"1252510-10-06 ";"16,95 ";"";"11754 "
"350 ";"";"";"7/8''-14 UNF ";"3/4''-16 UNF ";"45,0 ";"19,3 ";"16,7 ";"12,5 ";"9,5 ";"24 ";"1252510-10-08 ";"14,95 ";"";"2433 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"";"48,0 ";"19,3 ";"";"12,5 ";"";"24 ";"1252510-10-10 ";"10 ";"";"2434 "
"350 ";"";"";"1 1/16''-12 UN ";"9/16''-18 UNF ";"";"";"";"15,0 ";"7,5 ";"27 ";"1252510-12-06 ";"22,95 ";"";"11755 "
"350 ";"";"";"1 1/16''-12 UN ";"3/4''-16 UNF ";"48,0 ";"21,9 ";"16,7 ";"15,0 ";"9,5 ";"27 ";"1252510-12-08 ";"20,4 ";"";"2435 "
"350 ";"";"";"1 1/16''-12 UN ";"7/8''-14 UNF ";"51,0 ";"21,9 ";"19,3 ";"15,0 ";"12,5 ";"27 ";"1252510-12-10 ";"20,4 ";"";"2436 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"";"55,0 ";"21,9 ";"";"15,0 ";"";"27 ";"1252510-12-12 ";"13,6 ";"";"2437 "
"280 ";"";"";"1 5/16''-12 UN ";"1 1/16''-12 UN ";"56,0 ";"23,1 ";"21,9 ";"21,5 ";"15,0 ";"36 ";"1252510-16-12 ";"17,8 ";"";"2438 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"";"57,0 ";"23,1 ";"";"21,5 ";"";"36 ";"1252510-16-16 ";"15,2 ";"";"2439 "
"210 ";"";"";"1 5/8''-12 UN ";"1 1/16''-12 UN ";"56,0 ";"24,3 ";"21,9 ";"27,5 ";"15,0 ";"46 ";"1252510-20-12 ";"71,75 ";"";"11243 "
"210 ";"";"";"1 5/8''-12 UN ";"1 5/16''-12 UN ";"57,0 ";"24,3 ";"23,1 ";"27,5 ";"21,5 ";"46 ";"1252510-20-16 ";"56,25 ";"";"11244 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"";"61,5 ";"24,3 ";"";"27,5 ";"";"46 ";"1252510-20-20 ";"28,55 ";"";"2440 "
"210 ";"";"";"1 7/8''-12 UN ";"1 5/8''-12 UN ";"65,0 ";"27,5 ";"24,3 ";"33,0 ";"27,5 ";"50 ";"1252510-24-20 ";"58,7 ";"";"2441 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"";"70,0 ";"27,5 ";"";"33,0 ";"";"50 ";"1252510-24-24 ";"39,15 ";"";"2442 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"";"80,0 ";"33,9 ";"";"45,0 ";"";"65 ";"1252510-32-32 ";"66,6 ";"";"2443 "
