"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"22,5 ";"14,0 ";"4,5 ";"12 ";"1252512-04-04-04 ";"19,95 ";"";"2454 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"24,0 ";"14,0 ";"6,0 ";"14 ";"1252512-05-05-05 ";"21,95 ";"";"2455 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"27,0 ";"14,1 ";"7,5 ";"14 ";"1252512-06-06-06 ";"21,95 ";"";"2456 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"31,0 ";"16,7 ";"10,0 ";"22 ";"1252512-08-08-08 ";"33,75 ";"";"2457 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"37,5 ";"19,3 ";"12,5 ";"24 ";"1252512-10-10-10 ";"43,5 ";"";"2458 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"42,0 ";"21,9 ";"15,5 ";"24 ";"1252512-12-12-12 ";"46 ";"";"2459 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"46,0 ";"23,1 ";"21,5 ";"36 ";"1252512-16-16-16 ";"62,5 ";"";"2460 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"52,5 ";"24,3 ";"27,5 ";"41 ";"1252512-20-20-20 ";"93,2 ";"";"2461 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"59,0 ";"27,5 ";"33,0 ";"50 ";"1252512-24-24-24 ";"130 ";"";"2462 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"77,5 ";"33,9 ";"45,0 ";"65 ";"1252512-32-32-32 ";"398 ";"";"2463 "
