"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"9/16''-18 ";"7/16''-20 ";"26,0 ";"14,0 ";"4,0 ";"7,0 ";"19 ";"B ";"2252511-06-04 ";"9,39 ";"";"2179 "
"350 ";"6 ";"1/4'' ";"3/4''-16 ";"7/16''-20 ";"26,0 ";"14,0 ";"4,0 ";"9,0 ";"22 ";"B ";"2252511-08-04 ";"9,39 ";"";"2180 "
"350 ";"8 ";"5/16'' ";"3/4''-16 ";"1/2''-20 ";"26,0 ";"14,0 ";"9,0 ";"6,0 ";"22 ";"B ";"2252511-08-05 ";"12,9 ";"";"11250 "
"350 ";"10 ";"3/8'' ";"3/4''-16 ";"9/16''-18 ";"26,0 ";"14,0 ";"7,5 ";"9,0 ";"22 ";"B ";"2252511-08-06 ";"11,4 ";"";"2181 "
"350 ";"6 ";"1/4'' ";"7/8''-14 ";"7/16''-20 ";"28,0 ";"14,0 ";"4,5 ";"11,0 ";"27 ";"B ";"2252511-10-04 ";"14,7 ";"";"2182 "
"350 ";"10 ";"3/8'' ";"7/8''-14 ";"9/16''-18 ";"28,0 ";"14,0 ";"7,5 ";"11,0 ";"27 ";"B ";"2252511-10-06 ";"14,7 ";"";"2183 "
"350 ";"6 ";"1/4'' ";"1 1/16''-12 ";"7/16''-20 ";"28,5 ";"14,0 ";"4,0 ";"15,0 ";"32 ";"B ";"2252511-12-04 ";"18,5 ";"";"2184 "
"350 ";"10 ";"3/8'' ";"1 1/16''-12 ";"9/16''-18 ";"30,4 ";"14,0 ";"7,5 ";"15,0 ";"32 ";"B ";"2252511-12-06 ";"18,5 ";"";"2185 "
"350 ";"12 ";"1/2'' ";"1 1/16''-12 ";"3/4''-16 ";"33,0 ";"17,0 ";"9,5 ";"15,0 ";"32 ";"B ";"2252511-12-08 ";"18,5 ";"";"2186 "
"280 ";"6 ";"1/4'' ";"1 5/16''-12 ";"7/16''-20 ";"31,0 ";"14,0 ";"19,0 ";"4,0 ";"41 ";"B ";"2252511-16-04 ";"39 ";"";"11248 "
"280 ";"10 ";"3/8'' ";"1 5/16''-12 ";"9/16''-18 ";"32,0 ";"14,0 ";"7,5 ";"19,0 ";"41 ";"B ";"2252511-16-06 ";"39 ";"";"2187 "
"280 ";"12 ";"1/2'' ";"1 5/16''-12 ";"3/4''-16 ";"35,0 ";"17,0 ";"9,5 ";"19,0 ";"41 ";"B ";"2252511-16-08 ";"39 ";"";"2188 "
"280 ";"14, 15, 16 ";"5/8'' ";"1 5/16''-12 ";"7/8''-14 ";"37,0 ";"19,5 ";"12,0 ";"19,0 ";"41 ";"B ";"2252511-16-10 ";"39 ";"";"2189 "
"280 ";"18, 20 ";"3/4'' ";"1 5/16''-12 ";"1 1/16''-12 ";"40,0 ";"22,0 ";"15,5 ";"19,0 ";"41 ";"B ";"2252511-16-12 ";"39 ";"";"2190 "
"210 ";"12 ";"1/2'' ";"1 5/8''-12 ";"3/4''-16 ";"35,0 ";"16,7 ";"9,5 ";"26,0 ";"50 ";"B ";"2252511-20-08 ";"43,3 ";"";"2191 "
"210 ";"14, 15, 16 ";"5/8'' ";"1 5/8''-12 ";"7/8''-14 ";"37,3 ";"19,5 ";"26,0 ";"12,0 ";"50 ";"B ";"2252511-20-10 ";"43,3 ";"";"11249 "
"210 ";"18, 20 ";"3/4'' ";"1 5/8''-12 ";"1 1/16''-12 ";"40,0 ";"22,0 ";"15,0 ";"26,0 ";"50 ";"B ";"2252511-20-12 ";"43,3 ";"";"2192 "
"210 ";"25 ";"1'' ";"1 5/8''-12 ";"1 5/16''-12 ";"41,0 ";"23,0 ";"21,0 ";"26,0 ";"50 ";"B ";"2252511-20-16 ";"43,3 ";"";"2193 "
"210 ";"14, 15, 16 ";"5/8'' ";"1 7/8''-12 ";"7/8''-14 ";"41,0 ";"19,3 ";"30,0 ";"12,0 ";"60 ";"B ";"2252511-24-10 ";"84,3 ";"";"11546 "
"210 ";"18, 20 ";"3/4'' ";"1 7/8''-12 ";"1 1/16''-12 ";"43,6 ";"22,0 ";"15,0 ";"30,0 ";"60 ";"B ";"2252511-24-12 ";"84,3 ";"";"12170 "
"210 ";"25 ";"1'' ";"1 7/8''-12 ";"1 5/16''-12 ";"45,0 ";"23,0 ";"21,0 ";"30,0 ";"60 ";"B ";"2252511-24-16 ";"84,3 ";"";"2194 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 7/8''-12 ";"1 5/8''-12 ";"62,0 ";"24,3 ";"26,5 ";"32,0 ";"60 ";"B ";"2252511-24-20 ";"84,3 ";"";"2195 "
