"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6,0 ";"8,0 ";"M 12 x 1,5 ";"17,0 ";"14 ";"BM-06-L ";"2,43 ";"L ";"2529 "
"500 ";"8,0 ";"9,5 ";"M 14 x 1,5 ";"18,0 ";"17 ";"BM-08-L ";"3,32 ";"L ";"2530 "
"500 ";"10,0 ";"11,5 ";"M 16 x 1,5 ";"19,5 ";"19 ";"BM-10-L ";"3,58 ";"L ";"2531 "
"400 ";"12,0 ";"14,0 ";"M 18 x 1,5 ";"20,5 ";"22 ";"BM-12-L ";"4,22 ";"L ";"2532 "
"400 ";"15,0 ";"17,5 ";"M 22 x 1,5 ";"23,0 ";"27 ";"BM-15-L ";"5,68 ";"L ";"2533 "
"400 ";"18,0 ";"21,5 ";"M 26 x 1,5 ";"23,0 ";"32 ";"BM-18-L ";"8,44 ";"L ";"2534 "
"315 ";"22,0 ";"24,5 ";"M 30 x 2 ";"27,5 ";"36 ";"BM-22-L ";"11,25 ";"L ";"2535 "
"250 ";"28,0 ";"30,5 ";"M 36 x 2 ";"27,5 ";"41 ";"BM-28-L ";"19,17 ";"L ";"2536 "
"250 ";"35,0 ";"38,5 ";"M 45 x 2 ";"30,0 ";"50 ";"BM-35-L ";"28,07 ";"L ";"2537 "
"250 ";"42,0 ";"45,5 ";"M 52 x 2 ";"34,0 ";"60 ";"BM-42-L ";"37,07 ";"L ";"2538 "
"800 ";"6,0 ";"8,0 ";"M 14 x 1,5 ";"18,0 ";"17 ";"BM-06-S ";"3,32 ";"S ";"2539 "
"800 ";"8,0 ";"9,5 ";"M 16 x 1,5 ";"20,0 ";"19 ";"BM-08-S ";"3,83 ";"S ";"2540 "
"800 ";"10,0 ";"11,7 ";"M 18 x 1,5 ";"20,5 ";"22 ";"BM-10-S ";"4,35 ";"S ";"2541 "
"630 ";"12,0 ";"13,5 ";"M 20 x 1,5 ";"21,0 ";"24 ";"BM-12-S ";"4,6 ";"S ";"2542 "
"630 ";"14,0 ";"17,5 ";"M 22 x 1,5 ";"23,0 ";"27 ";"BM-14-S ";"7,62 ";"S ";"2543 "
"630 ";"16,0 ";"19,0 ";"M 24 x 1,5 ";"26,5 ";"30 ";"BM-16-S ";"7,8 ";"S ";"2544 "
"420 ";"20,0 ";"24,5 ";"M 30 x 2 ";"27,5 ";"36 ";"BM-20-S ";"11,76 ";"S ";"2545 "
"420 ";"25,0 ";"28,5 ";"M 36 x 2 ";"30,5 ";"46 ";"BM-25-S ";"21,73 ";"S ";"2546 "
"420 ";"30,0 ";"34,5 ";"M 42 x 2 ";"32,0 ";"50 ";"BM-30-S ";"33,34 ";"S ";"2547 "
"420 (1) ";"38,0 ";"42,0 ";"M 52 x 2 ";"38,0 ";"60 ";"BM-38-S ";"41,42 ";"S ";"2548 "
