"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10,5 ";"DR-06-L ";"2,1 ";"L ";"2549 "
"500 ";"8 ";"11,0 ";"DR-08-L ";"2,43 ";"L ";"2550 "
"500 ";"10 ";"12,5 ";"DR-10-L ";"2,68 ";"L ";"2551 "
"400 ";"12 ";"13,0 ";"DR-12-L ";"3,2 ";"L ";"2552 "
"400 ";"15 ";"14,0 ";"DR-15-L ";"3,71 ";"L ";"2553 "
"400 ";"18 ";"14,5 ";"DR-18-L ";"4,22 ";"L ";"2554 "
"315 ";"22 ";"18,0 ";"DR-22-L ";"4,47 ";"L ";"2555 "
"250 ";"28 ";"17,0 ";"DR-28-L ";"6,26 ";"L ";"2556 "
"250 ";"35 ";"19,0 ";"DR-35-L ";"12,19 ";"L ";"2557 "
"250 ";"42 ";"21,0 ";"DR-42-L ";"18,71 ";"L ";"2558 "
"800 ";"6 ";"10,5 ";"DR-06-S ";"2,17 ";"S ";"2559 "
"800 ";"8 ";"11,0 ";"DR-08-S ";"2,43 ";"S ";"2560 "
"800 ";"10 ";"12,5 ";"DR-10-S ";"2,68 ";"S ";"2561 "
"630 ";"12 ";"13,0 ";"DR-12-S ";"3,2 ";"S ";"2562 "
"630 ";"14 ";"14,5 ";"DR-14-S ";"3,71 ";"S ";"2563 "
"630 ";"16 ";"17,0 ";"DR-16-S ";"3,83 ";"S ";"2564 "
"420 ";"20 ";"17,5 ";"DR-20-S ";"4,35 ";"S ";"2565 "
"420 ";"25 ";"20,0 ";"DR-25-S ";"6,65 ";"S ";"2566 "
"420 ";"30 ";"21,5 ";"DR-30-S ";"10,74 ";"S ";"2567 "
"420 (1) ";"38 ";"26,5 ";"DR-38-S ";"21,47 ";"S ";"2568 "
