"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  d";"Ca. Maﬂe  Approx. Dimensions  L1";"O-Ring 1  O-ring 1  ";"O-Ring 2  O-ring 2  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"3 ";"11,5 ";"4,4 x 0,9 ";"4,5 x 1,5 ";"ZR-06-L ";"6,95 ";"L ";"2569 "
"500 ";"8 ";"5 ";"12,0 ";"6,0 x 0,8 ";"6,0 x 1,5 ";"ZR-08-L ";"8,39 ";"L ";"2570 "
"500 ";"10 ";"6 ";"12,5 ";"7,5 x 0,8 ";"8,5 x 1,5 ";"ZR-10-L ";"8,39 ";"L ";"2571 "
"400 ";"12 ";"8 ";"12,5 ";"9,5 x 0,8 ";"10,0 x 1,5 ";"ZR-12-L ";"8,95 ";"L ";"2572 "
"400 ";"15 ";"11 ";"12,5 ";"12,5 x 0,8 ";"13,0 x 1,5 ";"ZR-15-L ";"10,76 ";"L ";"2573 "
"400 ";"18 ";"14 ";"13,0 ";"15,0 x 1,0 ";"15,0 x 2,0 ";"ZR-18-L ";"12,17 ";"L ";"2574 "
"315 ";"22 ";"17 ";"14,2 ";"18,0 x 1,0 ";"20,0 x 2,0 ";"ZR-22-L ";"13,73 ";"L ";"2575 "
"250 ";"28 ";"23 ";"14,7 ";"23,0 x 1,0 ";"26,0 x 2,0 ";"ZR-28-L ";"15,47 ";"L ";"2576 "
"250 ";"35 ";"28 ";"18,5 ";"30,0 x 1,0 ";"32,0 x 2,5 ";"ZR-35-L ";"22,68 ";"L ";"2577 "
"250 ";"42 ";"35 ";"20,5 ";"37,0 x 1,0 ";"38,0 x 2,0 ";"ZR-42-L ";"28,25 ";"L ";"2578 "
"800 ";"6 ";"3 ";"11,5 ";"4,4 x 0,8 ";"4,5 x 1,5 ";"ZR-06-S ";"6,95 ";"S ";"2579 "
"800 ";"8 ";"5 ";"12,0 ";"6,0 x 0,8 ";"6,0 x 1,5 ";"ZR-08-S ";"8,39 ";"S ";"2580 "
"800 ";"10 ";"6 ";"12,5 ";"7,5 x 0,8 ";"8,5 x 1,5 ";"ZR-10-S ";"8,39 ";"S ";"2581 "
"630 ";"12 ";"8 ";"12,5 ";"9,5 x 0,8 ";"10,0 x 1,5 ";"ZR-12-S ";"8,95 ";"S ";"2582 "
"630 ";"14 ";"9 ";"14,0 ";"11,0 x 1,0 ";"12,0 x 2,0 ";"ZR-14-S ";"11,76 ";"S ";"2583 "
"630 ";"16 ";"11 ";"15,0 ";"12,5 x 1,0 ";"14,0 x 2,0 ";"ZR-16-S ";"10,99 ";"S ";"2584 "
"420 ";"20 ";"14 ";"18,5 ";"16,0 x 1,0 ";"17,3 x 2,4 ";"ZR-20-S ";"14,32 ";"S ";"2585 "
"420 ";"25 ";"19 ";"20,0 ";"20,0 x 1,0 ";"22,3 x 2,4 ";"ZR-25-S ";"16,46 ";"S ";"2586 "
"420 ";"30 ";"23 ";"22,0 ";"26,0 x 1,2 ";"27,3 x 2,4 ";"ZR-30-S ";"22,37 ";"S ";"2587 "
"420(1) ";"38 ";"30 ";"26,0 ";"32,0 x 1,78 ";"35,0 x 2,5 ";"ZR-38-S ";"26,38 ";"S ";"2588 "
