"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Gewinde  Thread  G";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5  ";"BAN-06-L ";"11,48 ";"L ";"2589 "
"500 ";"8 ";"M 14 x 1,5  ";"BAN-08-L ";"14,14 ";"L ";"2590 "
"500 ";"10 ";"M 16 x 1,5  ";"BAN-10-L ";"14,65 ";"L ";"2591 "
"400 ";"12 ";"M 18 x 1,5  ";"BAN-12-L ";"16,36 ";"L ";"2592 "
"400 ";"15 ";"M 22 x 1,5  ";"BAN-15-L ";"20,15 ";"L ";"2593 "
"400 ";"18 ";"M 26 x 1,5  ";"BAN-18-L ";"24,82 ";"L ";"2594 "
"315 ";"22 ";"M 30 x 2  ";"BAN-22-L ";"29,45 ";"L ";"2595 "
"250 ";"28 ";"M 36 x 2  ";"BAN-28-L ";"40,9 ";"L ";"2596 "
"250 ";"35 ";"M 45 X 2  ";"BAN-35-L ";"62,94 ";"L ";"2597 "
"250 ";"42 ";"M 52 x 2  ";"BAN-42-L ";"84,03 ";"L ";"2598 "
"800 ";"6 ";"M 14 x 1,5  ";"BAN-06-S ";"12,45 ";"S ";"2599 "
"800 ";"8 ";"M 16 x 1,5  ";"BAN-08-S ";"14,65 ";"S ";"2600 "
"800 ";"10 ";"M 18 x 1,5  ";"BAN-10-S ";"15,42 ";"S ";"2601 "
"630 ";"12 ";"M 20 x 1,5  ";"BAN-12-S ";"16,75 ";"S ";"2526 "
"630 ";"14 ";"M 22 x 1,5  ";"BAN-14-S ";"23,09 ";"S ";"2527 "
"630 ";"16 ";"M 24 x 1,5  ";"BAN-16-S ";"22,63 ";"S ";"2528 "
"420 ";"20 ";"M 30 x 2  ";"BAN-20-S ";"30,42 ";"S ";"2522 "
"420 ";"25 ";"M 36 x 2  ";"BAN-25-S ";"44,84 ";"S ";"2523 "
"420 ";"30 ";"M 42 x 2  ";"BAN-30-S ";"66,44 ";"S ";"2524 "
"420 (1) ";"38 ";"M 52 x 2  ";"BAN-38-S ";"89,27 ";"S ";"2525 "
