"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"29,5 ";"15,0 ";"25 ";"8 ";"12 ";"17 ";"WE-S-06-R 1/8''-k ";"16,48 ";"S ";"5094 "
"630 ";"6 ";"R 1/4'' keg ";"31,0 ";"16,5 ";"26 ";"12 ";"12 ";"17 ";"WE-S-06-R 1/4''-k ";"14,57 ";"S ";"5095 "
"630 ";"6 ";"R 3/8'' keg ";"32,0 ";"17,5 ";"27 ";"12 ";"14 ";"17 ";"WE-S-06-R 3/8''-k ";"18,13 ";"S ";"5096 "
"630 ";"6 ";"R 1/2'' keg ";"34,0 ";"19,0 ";"33 ";"14 ";"17 ";"17 ";"WE-S-06-R 1/2''-k ";"26,59 ";"S ";"5097 "
"630 ";"8 ";"R 1/8'' keg ";"32,0 ";"17,0 ";"";"8 ";"14 ";"19 ";"WE-S-08-R 1/8''-k ";"";"S ";"5098 "
"630 ";"8 ";"R 1/4'' keg ";"32,0 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"WE-S-08-R 1/4''-k ";"17,74 ";"S ";"5099 "
"630 ";"8 ";"R 3/8'' keg ";"33,0 ";"18,0 ";"28 ";"12 ";"14 ";"19 ";"WE-S-08-R 3/8''-k ";"17,84 ";"S ";"5100 "
"630 ";"8 ";"R 1/2'' keg ";"38,0 ";"23,0 ";"33 ";"14 ";"17 ";"19 ";"WE-S-08-R 1/2''-k ";"25,05 ";"S ";"5101 "
"630 ";"10 ";"R 1/8'' keg ";"34,0 ";"17,5 ";"28 ";"8 ";"17 ";"22 ";"WE-S-10-R 1/8''-k ";"";"S ";"5102 "
"630 ";"10 ";"R 1/4'' keg ";"34,0 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-R 1/4''-k ";"18,46 ";"S ";"5103 "
"630 ";"10 ";"R 3/8'' keg ";"34,0 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-R 3/8''-k ";"17,03 ";"S ";"5104 "
"630 ";"10 ";"R 1/2'' keg ";"39,0 ";"22,5 ";"32 ";"14 ";"17 ";"22 ";"WE-S-10-R 1/2''-k ";"25,31 ";"S ";"5105 "
"630 ";"12 ";"R 1/4'' keg ";"38,0 ";"21,5 ";"27 ";"12 ";"17 ";"24 ";"WE-S-12-R 1/4''-k ";"26,13 ";"S ";"5106 "
"630 ";"12 ";"R 3/8'' keg ";"38,0 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"WE-S-12-R 3/8''-k ";"20,45 ";"S ";"5107 "
"630 ";"12 ";"R 1/2'' keg ";"39,0 ";"22,5 ";"32 ";"14 ";"17 ";"24 ";"WE-S-12-R 1/2''-k ";"25,56 ";"S ";"5108 "
"630 ";"14 ";"R 3/8'' keg ";"40,0 ";"22,0 ";"30 ";"12 ";"19 ";"27 ";"WE-S-14-R 3/8''-k ";"27,71 ";"S ";"5109 "
"630 ";"14 ";"R 1/2'' keg ";"40,0 ";"22,0 ";"32 ";"14 ";"19 ";"27 ";"WE-S-14-R 1/2''-k ";"28,07 ";"S ";"5110 "
"400 ";"16 ";"R 3/8'' keg ";"43,0 ";"24,5 ";"32 ";"12 ";"24 ";"30 ";"WE-S-16-R 3/8''-k ";"41,35 ";"S ";"5111 "
"400 ";"16 ";"R 1/2'' keg ";"43,0 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"WE-S-16-R 1/2''-k ";"40,73 ";"S ";"5112 "
"160 ";"16 ";"R 3/4'' keg ";"43,0 ";"24,5 ";"41 ";"16 ";"24 ";"30 ";"WE-S-16-R 3/4''-k ";"50,73 ";"S ";"5113 "
"400 ";"20 ";"R 1/2'' keg ";"48,0 ";"26,5 ";"42 ";"19 ";"27 ";"36 ";"WE-S-20-R 1/2''-k ";"53,53 ";"S ";"5114 "
"400 ";"20 ";"R 3/4'' keg ";"48,0 ";"26,5 ";"42 ";"16 ";"27 ";"36 ";"WE-S-20-R 3/4''-k ";"53,53 ";"S ";"5115 "
