"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"15,0 ";"25 ";"23,0 ";"8 ";"12 ";"WE-S-06-R 1/8''-k-OMD ";"13,7 ";"S ";"5138 "
"630 ";"6 ";"R 1/4'' keg ";"16,5 ";"26 ";"23,0 ";"12 ";"12 ";"WE-S-06-R 1/4''-k-OMD ";"11,78 ";"S ";"5139 "
"630 ";"6 ";"R 3/8'' keg ";"17,5 ";"27 ";"";"12 ";"14 ";"WE-S-06-R 3/8''-k-OMD ";"15,34 ";"S ";"5140 "
"630 ";"6 ";"R 1/2'' keg ";"19,0 ";"33 ";"";"14 ";"17 ";"WE-S-06-R 1/2''-k-OMD ";"23,8 ";"S ";"5141 "
"630 ";"8 ";"R 1/8'' keg ";"17,0 ";"";"";"8 ";"14 ";"WE-S-08-R 1/8''-k-OMD ";"";"S ";"5142 "
"630 ";"8 ";"R 1/4'' keg ";"17,0 ";"27 ";"24,0 ";"12 ";"14 ";"WE-S-08-R 1/4''-k-OMD ";"14,54 ";"S ";"5143 "
"630 ";"8 ";"R 3/8'' keg ";"18,0 ";"28 ";"24,0 ";"12 ";"14 ";"WE-S-08-R 3/8''-k-OMD ";"14,64 ";"S ";"5144 "
"630 ";"8 ";"R 1/2'' keg ";"23,0 ";"33 ";"28,0 ";"14 ";"17 ";"WE-S-08-R 1/2''-k-OMD ";"21,85 ";"S ";"5145 "
"630 ";"10 ";"R 1/8'' keg ";"17,5 ";"28 ";"25,0 ";"8 ";"17 ";"WE-S-10-R 1/8''-k-OMD ";"";"S ";"5146 "
"630 ";"10 ";"R 1/4'' keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"WE-S-10-R 1/4''-k-OMD ";"14,52 ";"S ";"5147 "
"630 ";"10 ";"R 3/8'' keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"WE-S-10-R 3/8''-k-OMD ";"13,09 ";"S ";"5148 "
"630 ";"10 ";"R 1/2'' keg ";"22,5 ";"32 ";"30,0 ";"14 ";"17 ";"WE-S-10-R 1/2''-k-OMD ";"21,37 ";"S ";"5149 "
"630 ";"12 ";"R 1/4'' keg ";"21,5 ";"27 ";"29,0 ";"12 ";"17 ";"WE-S-12-R 1/4''-k-OMD ";"21,68 ";"S ";"5150 "
"630 ";"12 ";"R 3/8'' keg ";"21,5 ";"28 ";"29,0 ";"12 ";"17 ";"WE-S-12-R 3/8''-k-OMD ";"16 ";"S ";"5151 "
"630 ";"12 ";"R 1/2'' keg ";"22,5 ";"32 ";"29,0 ";"14 ";"17 ";"WE-S-12-R 1/2''-k-OMD ";"21,11 ";"S ";"5152 "
"630 ";"14 ";"R 3/8'' keg ";"22,0 ";"30 ";"30,0 ";"12 ";"19 ";"WE-S-14-R 3/8''-k-OMD ";"22,21 ";"S ";"5153 "
"630 ";"14 ";"R 1/2'' keg ";"22,0 ";"32 ";"30,0 ";"14 ";"19 ";"WE-S-14-R 1/2''-k-OMD ";"22,57 ";"S ";"5154 "
"400 ";"16 ";"R 3/8'' keg ";"24,5 ";"32 ";"33,0 ";"12 ";"24 ";"WE-S-16-R 3/8''-k-OMD ";"33,14 ";"S ";"5155 "
"400 ";"16 ";"R 1/2'' keg ";"24,5 ";"32 ";"33,0 ";"14 ";"24 ";"WE-S-16-R 1/2''-k-OMD ";"32,52 ";"S ";"5156 "
"160 ";"16 ";"R 3/4'' keg ";"24,5 ";"41 ";"33,0 ";"16 ";"24 ";"WE-S-16-R 3/4''-k-OMD ";"42,52 ";"S ";"5157 "
"400 ";"20 ";"R 1/2'' keg ";"26,5 ";"42 ";"37,0 ";"19 ";"27 ";"WE-S-20-R 1/2''-k-OMD ";"42,95 ";"S ";"5158 "
"400 ";"20 ";"R 3/4'' keg ";"26,5 ";"42 ";"37,0 ";"16 ";"27 ";"WE-S-20-R 3/4''-k-OMD ";"42,95 ";"S ";"5159 "
