"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"1/4'' NPT ";"31 ";"16,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"WE-S-06-1/4''-NPT ";"18,02 ";"S ";"5355 "
"630 ";"6 ";"3/8'' NPT ";"32 ";"17,5 ";"29,0 ";"15,3 ";"14 ";"17 ";"WE-S-06-3/8''-NPT ";"22,6 ";"S ";"5356 "
"630 ";"6 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"17 ";"17 ";"WE-S-06-1/2''-NPT ";"33,36 ";"S ";"5357 "
"630 ";"8 ";"1/4'' NPT ";"32 ";"17,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"WE-S-08-1/4''-NPT ";"21,73 ";"S ";"5358 "
"630 ";"8 ";"3/8'' NPT ";"33 ";"18,0 ";"28,0 ";"15,3 ";"14 ";"19 ";"WE-S-08-3/8''-NPT ";"23,19 ";"S ";"5359 "
"630 ";"8 ";"1/2'' NPT ";"38 ";"23,0 ";"34,0 ";"20,0 ";"17 ";"19 ";"WE-S-08-1/2''-NPT ";"32,8 ";"S ";"5360 "
"630 ";"10 ";"1/4'' NPT ";"34 ";"17,5 ";"28,0 ";"15,0 ";"17 ";"22 ";"WE-S-10-1/4''-NPT ";"26,59 ";"S ";"5361 "
"630 ";"10 ";"3/8'' NPT ";"34 ";"17,5 ";"28,0 ";"15,3 ";"17 ";"22 ";"WE-S-10-3/8''-NPT ";"23,52 ";"S ";"5362 "
"630 ";"10 ";"1/2'' NPT ";"39 ";"22,5 ";"32,0 ";"20,0 ";"17 ";"22 ";"WE-S-10-1/2''-NPT ";"31,8 ";"S ";"5363 "
"630 ";"12 ";"1/4'' NPT ";"38 ";"21,5 ";"29,0 ";"15,0 ";"17 ";"24 ";"WE-S-12-1/4''-NPT ";"29,6 ";"S ";"5364 "
"630 ";"12 ";"3/8'' NPT ";"38 ";"21,5 ";"28,0 ";"15,3 ";"17 ";"24 ";"WE-S-12-3/8''-NPT ";"28,81 ";"S ";"5365 "
"630 ";"12 ";"1/2'' NPT ";"39 ";"21,5 ";"32,5 ";"20,0 ";"17 ";"24 ";"WE-S-12-1/2''-NPT ";"32,06 ";"S ";"5366 "
"630 ";"14 ";"3/8'' NPT ";"40 ";"22,0 ";"30,0 ";"15,3 ";"19 ";"27 ";"WE-S-14-3/8''-NPT ";"31,96 ";"S ";"5367 "
"630 ";"14 ";"1/2'' NPT ";"40 ";"22,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"WE-S-14-1/2''-NPT ";"32,21 ";"S ";"5368 "
"400 ";"16 ";"3/8'' NPT ";"43 ";"24,5 ";"32,0 ";"15,3 ";"24 ";"30 ";"WE-S-16-3/8''-NPT ";"45,76 ";"S ";"5369 "
"400 ";"16 ";"1/2'' NPT ";"43 ";"24,5 ";"36,0 ";"20,0 ";"24 ";"30 ";"WE-S-16-1/2''-NPT ";"44,46 ";"S ";"5370 "
"400 ";"16 ";"3/4'' NPT ";"43 ";"24,5 ";"41,0 ";"20,0 ";"24 ";"30 ";"WE-S-16-3/4''-NPT ";"50,73 ";"S ";"5371 "
"400 ";"20 ";"1/2'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"WE-S-20-1/2''-NPT ";"52,15 ";"S ";"5372 "
"400 ";"20 ";"3/4'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"WE-S-20-3/4''-NPT ";"52,15 ";"S ";"5373 "
"400 ";"25 ";"1'' NPT ";"54 ";"30,0 ";"48,0 ";"25,0 ";"36 ";"46 ";"WE-S-25-1''-NPT ";"115,04 ";"S ";"5374 "
"400 ";"30 ";"1 1/4'' NPT ";"62 ";"35,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"WE-S-30-1 1/4''-NPT ";"168,73 ";"S ";"5375 "
"315 ";"38 ";"1 1/2'' NPT ";"72 ";"41,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"WE-S-38-1 1/2''-NPT ";"227,53 ";"S ";"5376 "
