"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"12,0 ";"20,0 ";"19,0 ";"10,0 ";"12 ";"TE-L-06-1/8''-NPT-OMD ";"25,55 ";"L ";"5654 "
"315 ";"6 ";"1/4'' NPT ";"12,0 ";"25,0 ";"19,0 ";"15,0 ";"12 ";"TE-L-06-1/4''-NPT-OMD ";"27,08 ";"L ";"5655 "
"315 ";"8 ";"1/4'' NPT ";"14,0 ";"26,0 ";"21,0 ";"15,0 ";"12 ";"TE-L-08-1/4''-NPT-OMD ";"26,33 ";"L ";"5656 "
"315 ";"10 ";"1/4'' NPT ";"15,0 ";"27,0 ";"22,0 ";"15,0 ";"14 ";"TE-L-10-1/4''-NPT-OMD ";"28,56 ";"L ";"5657 "
"315 ";"10 ";"3/8'' NPT ";"15,0 ";"28,0 ";"22,0 ";"15,3 ";"14 ";"TE-L-10-3/8''-NPT-OMD ";"35,46 ";"L ";"5658 "
"315 ";"10 ";"1/2'' NPT ";"21,0 ";"32,5 ";"28,0 ";"20,0 ";"17 ";"TE-L-10-1/2''-NPT-OMD ";"37,66 ";"L ";"5659 "
"315 ";"12 ";"1/4'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,0 ";"17 ";"TE-L-12-1/4''-NPT-OMD ";"34,79 ";"L ";"5660 "
"315 ";"12 ";"3/8'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,3 ";"17 ";"TE-L-12-3/8''-NPT-OMD ";"34,79 ";"L ";"5661 "
"315 ";"12 ";"1/2'' NPT ";"21,0 ";"32,5 ";"27,5 ";"20,0 ";"17 ";"TE-L-12-1/2''-NPT-OMD ";"36,96 ";"L ";"5662 "
"315 ";"15 ";"3/8'' NPT ";"21,0 ";"32,0 ";"28,0 ";"15,3 ";"19 ";"TE-L-15-3/8''-NPT-OMD ";"";"L ";"5663 "
