"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Auﬂengewinde  Male Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/8'' ";"32,5 ";"19,0 ";"8 ";"14 ";"EVGE-S-06-G 1/8''-ov-wd ";"11,88 ";"S ";"12017 "
"630 ";"6 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"EVGE-S-06-G 1/4''-ov-wd ";"11,88 ";"S ";"12018 "
"630 ";"8 ";"G 1/4'' ";"41,0 ";"20,5 ";"12 ";"19 ";"EVGE-S-08-G 1/4''-ov-wd ";"11,99 ";"S ";"12019 "
"630 ";"8 ";"G 3/8'' ";"42,5 ";"20,5 ";"12 ";"22 ";"EVGE-S-08-G 3/8''-ov-wd ";"14,54 ";"S ";"12020 "
"630 ";"10 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"EVGE-S-10-G 1/4''-ov-wd ";"12,98 ";"S ";"12021 "
"630 ";"10 ";"G 3/8'' ";"44,0 ";"21,0 ";"12 ";"22 ";"EVGE-S-10-G 3/8''-ov-wd ";"14,21 ";"S ";"12022 "
"630 ";"10 ";"G 1/2'' ";"46,5 ";"20,5 ";"14 ";"27 ";"EVGE-S-10-G 1/2''-ov-wd ";"17,94 ";"S ";"12023 "
"630 ";"12 ";"G 1/4'' ";"42,0 ";"21,5 ";"12 ";"19 ";"EVGE-S-12-G 1/4''-ov-wd ";"13,19 ";"S ";"12024 "
"630 ";"12 ";"G 3/8'' ";"45,0 ";"22,0 ";"12 ";"22 ";"EVGE-S-12-G 3/8''-ov-wd ";"14,52 ";"S ";"12025 "
"630 ";"12 ";"G 1/2'' ";"48,5 ";"22,5 ";"14 ";"27 ";"EVGE-S-12-G 1/2''-ov-wd ";"18,94 ";"S ";"12026 "
"630 ";"14 ";"G 1/2'' ";"51,0 ";"24,5 ";"14 ";"27 ";"EVGE-S-14-G 1/2''-ov-wd ";"19,78 ";"S ";"12027 "
"400 ";"16 ";"G 3/8'' ";"48,5 ";"26,0 ";"12 ";"22 ";"EVGE-S-16-G 3/8''-ov-wd ";"27,53 ";"S ";"12028 "
"400 ";"16 ";"G 1/2'' ";"51,0 ";"26,0 ";"14 ";"27 ";"EVGE-S-16-G 1/2''-ov-wd ";"26,25 ";"S ";"12029 "
"400 ";"16 ";"G 3/4'' ";"54,5 ";"26,0 ";"16 ";"32 ";"EVGE-S-16-G 3/4''-ov-wd ";"30,52 ";"S ";"12030 "
"400 ";"20 ";"G 1/2'' ";"56,5 ";"29,5 ";"14 ";"27 ";"EVGE-S-20-G 1/2''-ov-wd ";"27,16 ";"S ";"12031 "
"400 ";"20 ";"G 3/4'' ";"59,0 ";"29,0 ";"16 ";"32 ";"EVGE-S-20-G 3/4''-ov-wd ";"34,08 ";"S ";"12032 "
"400 ";"25 ";"G 3/4'' ";"63,0 ";"33,0 ";"16 ";"32 ";"EVGE-S-25-G 3/4''-ov-wd ";"50,41 ";"S ";"12033 "
"400 ";"25 ";"G 1'' ";"66,0 ";"33,0 ";"18 ";"41 ";"EVGE-S-25-G 1''-ov-wd ";"50,41 ";"S ";"12034 "
"400 ";"30 ";"G 1  1/4'' ";"71,0 ";"34,0 ";"20 ";"50 ";"EVGE-S-30-G 1 1/4''-ov-wd ";"60,75 ";"S ";"12035 "
"315 ";"38 ";"G 1  1/2'' ";"83,5 ";"40,0 ";"22 ";"55 ";"EVGE-S-38-G 1 1/2''-ov-wd ";"85,28 ";"S ";"12036 "
