"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"32,5 ";"19,0 ";"8 ";"14 ";"EVGE-L-06-M 10x1-ov-wd ";"11,42 ";"L ";"6157 "
"315 ";"8 ";"M 12 x 1,5 ";"39,5 ";"19,5 ";"12 ";"17 ";"EVGE-L-08-M 12x1,5-ov-wd ";"12,16 ";"L ";"6158 "
"315 ";"10 ";"M 14 x 1,5 ";"39,5 ";"20,5 ";"12 ";"19 ";"EVGE-L-10-M 14x1,5-ov-wd ";"13,1 ";"L ";"6159 "
"315 ";"12 ";"M 16 x 1,5 ";"42,0 ";"22,0 ";"12 ";"22 ";"EVGE-L-12-M 16x1,5-ov-wd ";"14,87 ";"L ";"6160 "
"315 ";"15 ";"M 18 x 1,5 ";"43,5 ";"23,0 ";"12 ";"24 ";"EVGE-L-15-M 18x1,5-ov-wd ";"18,25 ";"L ";"6161 "
"315 ";"18 ";"M 22 x 1,5 ";"47,0 ";"24,0 ";"14 ";"27 ";"EVGE-L-18-M 22x1,5-ov-wd ";"24,61 ";"L ";"6162 "
"160 ";"22 ";"M 26 x 1,5 ";"50,5 ";"24,5 ";"16 ";"32 ";"EVGE-L-22-M 26x1,5-ov-wd ";"30,42 ";"L ";"6163 "
"160 ";"28 ";"M 33 x 2 ";"54,0 ";"25,5 ";"18 ";"41 ";"EVGE-L-28-M 33x2-ov-wd ";"46,51 ";"L ";"6164 "
"160 ";"35 ";"M 42 x 2 ";"62,5 ";"30,5 ";"20 ";"50 ";"EVGE-L-35-M 42x2-ov-wd ";"78,59 ";"L ";"6165 "
"160 ";"42 ";"M 48 x 2 ";"68,5 ";"32,5 ";"22 ";"55 ";"EVGE-L-42-M 48x2-ov-wd ";"82,5 ";"L ";"6166 "
"630 ";"6 ";"M 12 x 1,5 ";"39,5 ";"19,0 ";"12 ";"17 ";"EVGE-S-06-M 12x1,5-ov-wd ";"11,63 ";"S ";"6167 "
"630 ";"8 ";"M 14 x 1,5 ";"40,5 ";"19,5 ";"12 ";"19 ";"EVGE-S-08-M 14x1,5-ov-wd ";"12,6 ";"S ";"6168 "
"630 ";"10 ";"M 16 x 1,5 ";"44,0 ";"21,5 ";"12 ";"22 ";"EVGE-S-10-M 16x1,5-ov-wd ";"14,29 ";"S ";"6169 "
"630 ";"12 ";"M 18 x 1,5 ";"46,0 ";"22,5 ";"12 ";"24 ";"EVGE-S-12-M 18x1,5-ov-wd ";"15,72 ";"S ";"6170 "
"630 ";"14 ";"M 20 x 1,5 ";"50,0 ";"23,5 ";"14 ";"27 ";"EVGE-S-14-M 20x1,5-ov-wd ";"18,86 ";"S ";"6171 "
"400 ";"16 ";"M 22 x 1,5 ";"51,0 ";"26,0 ";"14 ";"27 ";"EVGE-S-16-M 22x1,5-ov-wd ";"25,25 ";"S ";"6172 "
"400 ";"20 ";"M 27 x 2 ";"59,0 ";"28,0 ";"16 ";"32 ";"EVGE-S-20-M 27x2-ov-wd ";"35,74 ";"S ";"6173 "
"400 ";"25 ";"M 33 x 2 ";"65,5 ";"31,0 ";"18 ";"41 ";"EVGE-S-25-M 33x2-ov-wd ";"50,41 ";"S ";"6174 "
"400 ";"30 ";"M 42 x 2 ";"71,0 ";"34,0 ";"20 ";"50 ";"EVGE-S-30-M 42x2-ov-wd ";"58,37 ";"S ";"6175 "
"315 ";"38 ";"M 48 x 2 ";"83,5 ";"40,0 ";"22 ";"55 ";"EVGE-S-38-M 48x2-ov-wd ";"93,46 ";"S ";"6176 "
