"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"M 12 x 1,5 ";"32,5 ";"19,0 ";"8 ";"14 ";"14 ";"EVGE-L-06-M 10x1-wd-SC ";"14,05 ";"L ";"6197 "
"315 ";"8 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"39,5 ";"19,5 ";"12 ";"17 ";"17 ";"EVGE-L-08-M 12x1,5-wd-SC ";"15,4 ";"L ";"6198 "
"315 ";"10 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"39,5 ";"20,5 ";"12 ";"19 ";"19 ";"EVGE-L-10-M 14x1,5-wd-SC ";"16,9 ";"L ";"6199 "
"315 ";"12 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"42,0 ";"22,0 ";"12 ";"22 ";"22 ";"EVGE-L-12-M 16x1,5-wd-SC ";"19,32 ";"L ";"6200 "
"315 ";"15 ";"M 18 x 1,5 ";"M 22 x 1,5 ";"43,5 ";"23,0 ";"12 ";"24 ";"27 ";"EVGE-L-15-M 18x1,5-wd-SC ";"24,47 ";"L ";"6201 "
"315 ";"18 ";"M 22 x 1,5 ";"M 26 x,1,5 ";"47,0 ";"24,0 ";"14 ";"27 ";"32 ";"EVGE-L-18-M 22x1,5-wd-SC ";"34,87 ";"L ";"6202 "
"160 ";"22 ";"M 26 x 1,5 ";"M 30 x 2 ";"50,5 ";"24,5 ";"16 ";"32 ";"36 ";"EVGE-L-22-M 26x1,5-wd-SC ";"42,49 ";"L ";"6203 "
"160 ";"28 ";"M 33 x 2 ";"M 36 x 2 ";"54,0 ";"25,5 ";"18 ";"41 ";"41 ";"EVGE-L-28-M 33x2-wd-SC ";"63,36 ";"L ";"6204 "
"160 ";"35 ";"M 42 x 2 ";"M 45 x 2 ";"62,5 ";"30,5 ";"20 ";"50 ";"50 ";"EVGE-L-35-M 42x2-wd-SC ";"103,42 ";"L ";"6205 "
"160 ";"42 ";"M 48 x 2 ";"M 52 x 2 ";"68,5 ";"32,5 ";"22 ";"55 ";"60 ";"EVGE-L-42-M 48x2-wd-SC ";"114,25 ";"L ";"6206 "
"630 ";"6 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"39,5 ";"19,0 ";"12 ";"17 ";"17 ";"EVGE-S-06-M 12x1,5-wd-SC ";"14,86 ";"S ";"6207 "
"630 ";"8 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"40,5 ";"19,5 ";"12 ";"19 ";"19 ";"EVGE-S-08-M 14x1,5-wd-SC ";"16,24 ";"S ";"6208 "
"630 ";"10 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"44,0 ";"21,5 ";"12 ";"22 ";"22 ";"EVGE-S-10-M 16x1,5-wd-SC ";"18,79 ";"S ";"6209 "
"630 ";"12 ";"M 18 x 1,5 ";"M 20 x 1,5 ";"46,0 ";"22,5 ";"12 ";"24 ";"24 ";"EVGE-S-12-M 18x1,5-wd-SC ";"21,01 ";"S ";"6210 "
"630 ";"14 ";"M 20 x 1,5 ";"M 22 x 1,5 ";"50,0 ";"23,5 ";"14 ";"27 ";"27 ";"EVGE-S-14-M 20x1,5-wd-SC ";"25,92 ";"S ";"6211 "
"400 ";"16 ";"M 22 x 1,5 ";"M 24 x 1,5 ";"51,0 ";"26,0 ";"14 ";"27 ";"30 ";"EVGE-S-16-M 22x1,5-wd-SC ";"35,02 ";"S ";"6212 "
"400 ";"20 ";"M 27 x 2 ";"M 30 x 2 ";"59,0 ";"28,0 ";"16 ";"32 ";"36 ";"EVGE-S-20-M 27x2-wd-SC ";"48,2 ";"S ";"6213 "
"400 ";"25 ";"M 33 x 2 ";"M 36 x 2 ";"65,5 ";"31,0 ";"18 ";"41 ";"46 ";"EVGE-S-25-M 33x2-wd-SC ";"72,03 ";"S ";"6214 "
"400 ";"30 ";"M 42 x 2 ";"M 42 x 2 ";"71,0 ";"34,0 ";"20 ";"50 ";"50 ";"EVGE-S-30-M 42x2-wd-SC ";"85,97 ";"S ";"6215 "
"315 ";"38 ";"M 48 x 2 ";"M 52 x 2 ";"83,5 ";"40,0 ";"22 ";"55 ";"60 ";"EVGE-S-38-M 48x2-wd-SC ";"130,91 ";"S ";"6216 "
