"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"4,5 ";"37,0 ";"7,5 ";"14,5 ";"19 ";"14 ";"MV-L-06-G 1/4''-SC ";"12,77 ";"L ";"6232 "
"315 ";"6 ";"G 1/2'' ";"5,0 ";"46,0 ";"9,0 ";"20,0 ";"27 ";"14 ";"MV-L-06-G 1/2''-SC ";"19,9 ";"L ";"6233 "
"315 ";"8 ";"G 1/4'' ";"4,5 ";"37,0 ";"7,5 ";"14,5 ";"19 ";"17 ";"MV-L-08-G 1/4''-SC ";"13,4 ";"L ";"6234 "
"315 ";"8 ";"G 1/2'' ";"5,0 ";"46,0 ";"9,0 ";"20,0 ";"27 ";"17 ";"MV-L-08-G 1/2''-SC ";"20,02 ";"L ";"6235 "
"315 ";"10 ";"G 1/4'' ";"4,5 ";"38,0 ";"8,5 ";"14,5 ";"19 ";"19 ";"MV-L-10-G 1/4''-SC ";"14,07 ";"L ";"6236 "
"315 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"9,5 ";"20,0 ";"27 ";"19 ";"MV-L-10-G 1/2''-SC ";"20,13 ";"L ";"6237 "
"315 ";"12 ";"G 1/4'' ";"4,5 ";"38,0 ";"8,5 ";"14,5 ";"19 ";"22 ";"MV-L-12-G 1/4''-SC ";"14,37 ";"L ";"6238 "
"315 ";"12 ";"G 1/2'' ";"5,0 ";"48,0 ";"10,0 ";"20,0 ";"27 ";"22 ";"MV-L-12-G 1/2''-SC ";"20,4 ";"L ";"6239 "
"630 ";"6 ";"G 1/2'' ";"5,0 ";"46,0 ";"11,0 ";"20,0 ";"27 ";"17 ";"MV-S-06-G 1/2''-SC ";"18,34 ";"S ";"6240 "
"630 ";"8 ";"G 1/4'' ";"4,5 ";"40,0 ";"9,5 ";"14,5 ";"19 ";"19 ";"MV-S-08-G 1/4''-SC ";"21,44 ";"S ";"6241 "
"630 ";"8 ";"G 1/2'' ";"5,0 ";"46,0 ";"11,0 ";"20,0 ";"27 ";"19 ";"MV-S-08-G 1/2''-SC ";"18,72 ";"S ";"6242 "
"630 ";"10 ";"G 1/4'' ";"4,5 ";"40,5 ";"9,0 ";"14,5 ";"19 ";"22 ";"MV-S-10-G 1/4''-SC ";"19,66 ";"S ";"10780 "
"630 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"10,5 ";"20,0 ";"27 ";"22 ";"MV-S-10-G 1/2''-SC ";"19,66 ";"S ";"6243 "
"630 ";"12 ";"G 1/4'' ";"4,5 ";"41,0 ";"8,0 ";"14,5 ";"22 ";"24 ";"MV-S-12-G 1/4''-SC ";"20,5 ";"S ";"6244 "
"630 ";"12 ";"G 1/2'' ";"5,0 ";"47,0 ";"10,5 ";"20,0 ";"27 ";"24 ";"MV-S-12-G 1/2''-SC ";"20,5 ";"S ";"6245 "
"630 ";"14 ";"G 1/2'' ";"5,0 ";"49,5 ";"12,0 ";"20,0 ";"27 ";"27 ";"MV-S-14-G 1/2''-SC ";"28,9 ";"S ";"11902 "
