"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"M 12 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"14 ";"MV-ev-L-06-G 1/4''-SC ";"17,7 ";"L ";"6312 "
"315 ";"6 ";"G 1/2'' ";"M 12 x 1,5 ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"14 ";"MV-ev-L-06-G 1/2''-SC ";"26,52 ";"L ";"6313 "
"315 ";"8 ";"G 1/4'' ";"M 14 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"17 ";"MV-ev-L-08-G 1/4''-SC ";"18,51 ";"L ";"6314 "
"315 ";"8 ";"G 1/2'' ";"M 14 x 1,5 ";"5,0 ";"47,6 ";"27,5 ";"20,0 ";"27 ";"17 ";"MV-ev-L-08-G 1/2''-SC ";"27,56 ";"L ";"6315 "
"315 ";"10 ";"G 1/4'' ";"M 16 x 1,5 ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"19 ";"MV-ev-L-10-G 1/4''-SC ";"19,31 ";"L ";"6316 "
"315 ";"10 ";"G 1/2'' ";"M 16 x 1,5 ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"19 ";"MV-ev-L-10-G 1/2''-SC ";"28,89 ";"L ";"6317 "
"315 ";"12 ";"G 1/4'' ";"M 18 x 1,5 ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"22 ";"MV-ev-L-12-G 1/4''-SC ";"20,17 ";"L ";"6318 "
"315 ";"12 ";"G 1/2'' ";"M 18 x 1,5 ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"22 ";"MV-ev-L-12-G 1/2''-SC ";"30,09 ";"L ";"6319 "
"630 ";"6 ";"G 1/4'' ";"M 14 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"17 ";"MV-ev-S-06-G 1/4''-SC ";"17,82 ";"S ";"6320 "
"630 ";"6 ";"G 1/2'' ";"M 14 x 1,5 ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"17 ";"MV-ev-S-06-G 1/2''-SC ";"26,64 ";"S ";"6321 "
"630 ";"8 ";"G 1/4'' ";"M 16 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"19 ";"MV-ev-S-08-G 1/4''-SC ";"18,51 ";"S ";"6322 "
"630 ";"8 ";"G 1/2'' ";"M 16 x 1,5 ";"5,0 ";"47,6 ";"27,0 ";"20,0 ";"27 ";"19 ";"MV-ev-S-08-G 1/2''-SC ";"27,56 ";"S ";"6323 "
"630 ";"10 ";"G 1/4'' ";"M 18 x 1,5 ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"22 ";"MV-ev-S-10-G 1/4''-SC ";"19,43 ";"S ";"6324 "
"630 ";"10 ";"G 1/2'' ";"M 18 x 1,5 ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"22 ";"MV-ev-S-10-G 1/2''-SC ";"29,01 ";"S ";"6325 "
"630 ";"12 ";"G 1/4'' ";"M 20 x 1,5 ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"24 ";"MV-ev-S-12-G 1/4''-SC ";"20,45 ";"S ";"6326 "
"630 ";"12 ";"G 1/2'' ";"M 20 x 1,5 ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"24 ";"MV-ev-S-12-G 1/2''-SC ";"30,37 ";"S ";"6327 "
