"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"44,0 ";"10 ";"12 ";"14 ";"GV-L-06-SC ";"8,67 ";"L ";"2625 "
"500 ";"8 ";"45,0 ";"11 ";"14 ";"17 ";"GV-L-08-SC ";"10,9 ";"L ";"2626 "
"500 ";"10 ";"48,0 ";"13 ";"17 ";"19 ";"GV-L-10-SC ";"13,28 ";"L ";"2627 "
"400 ";"12 ";"49,0 ";"14 ";"19 ";"22 ";"GV-L-12-SC ";"15,36 ";"L ";"2628 "
"400 ";"15 ";"54,0 ";"16 ";"24 ";"27 ";"GV-L-15-SC ";"21 ";"L ";"2629 "
"400 ";"18 ";"56,0 ";"16 ";"27 ";"32 ";"GV-L-18-SC ";"31,4 ";"L ";"2630 "
"250 ";"22 ";"63,0 ";"20 ";"32 ";"36 ";"GV-L-22-SC ";"40,13 ";"L ";"2631 "
"250 ";"28 ";"65,0 ";"21 ";"41 ";"41 ";"GV-L-28-SC ";"62,08 ";"L ";"2632 "
"250 ";"35 ";"74,0 ";"20 ";"46 ";"50 ";"GV-L-35-SC ";"84,39 ";"L ";"2633 "
"250 ";"42 ";"75,0 ";"21 ";"55 ";"60 ";"GV-L-42-SC ";"113,61 ";"L ";"2634 "
"800 ";"6 ";"50,0 ";"16 ";"14 ";"17 ";"GV-S-06-SC ";"10,98 ";"S ";"2635 "
"800 ";"8 ";"52,0 ";"18 ";"17 ";"19 ";"GV-S-08-SC ";"12,84 ";"S ";"2636 "
"800 ";"10 ";"54,0 ";"17 ";"19 ";"22 ";"GV-S-10-SC ";"16,13 ";"S ";"2637 "
"630 ";"12 ";"57,0 ";"19 ";"22 ";"24 ";"GV-S-12-SC ";"18,45 ";"S ";"2638 "
"630 ";"14 ";"63,0 ";"22 ";"24 ";"27 ";"GV-S-14-SC ";"24,34 ";"S ";"2639 "
"630 ";"16 ";"65,0 ";"21 ";"27 ";"30 ";"GV-S-16-SC ";"31,11 ";"S ";"2640 "
"420 ";"20 ";"73,0 ";"23 ";"32 ";"36 ";"GV-S-20-SC ";"43,64 ";"S ";"2641 "
"420 ";"25 ";"84,0 ";"26 ";"41 ";"46 ";"GV-S-25-SC ";"72,37 ";"S ";"2642 "
"420 ";"30 ";"88,0 ";"27 ";"46 ";"50 ";"GV-S-30-SC ";"97,8 ";"S ";"2643 "
"420 ";"38 ";"99,0 ";"29 ";"55 ";"60 ";"GV-S-38-SC ";"131,44 ";"S ";"2644 "
