"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"MV-ev-L-06-G 1/4''-OMD ";"15,07 ";"L ";"6328 "
"315 ";"6 ";"G 1/2'' ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"MV-ev-L-06-G 1/2''-OMD ";"23,89 ";"L ";"6329 "
"315 ";"8 ";"G 1/4'' ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"MV-ev-L-08-G 1/4''-OMD ";"15,27 ";"L ";"6330 "
"315 ";"8 ";"G 1/2'' ";"5,0 ";"47,6 ";"27,5 ";"20,0 ";"27 ";"MV-ev-L-08-G 1/2''-OMD ";"24,32 ";"L ";"6331 "
"315 ";"10 ";"G 1/4'' ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"MV-ev-L-10-G 1/4''-OMD ";"15,51 ";"L ";"6332 "
"315 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"MV-ev-L-10-G 1/2''-OMD ";"25,09 ";"L ";"6333 "
"315 ";"12 ";"G 1/4'' ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"MV-ev-L-12-G 1/4''-OMD ";"15,72 ";"L ";"6334 "
"315 ";"12 ";"G 1/2'' ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"MV-ev-L-12-G 1/2''-OMD ";"25,64 ";"L ";"6335 "
"630 ";"6 ";"G 1/4'' ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"MV-ev-S-06-G 1/4''-OMD ";"14,59 ";"S ";"6336 "
"630 ";"6 ";"G 1/2'' ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"MV-ev-S-06-G 1/2''-OMD ";"23,41 ";"S ";"6337 "
"630 ";"8 ";"G 1/4'' ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"MV-ev-S-08-G 1/4''-OMD ";"14,87 ";"S ";"6338 "
"630 ";"8 ";"G 1/2'' ";"5,0 ";"47,6 ";"27,0 ";"20,0 ";"27 ";"MV-ev-S-08-G 1/2''-OMD ";"23,92 ";"S ";"6339 "
"630 ";"10 ";"G 1/4'' ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"MV-ev-S-10-G 1/4''-OMD ";"14,93 ";"S ";"6340 "
"630 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"MV-ev-S-10-G 1/2''-OMD ";"24,51 ";"S ";"6341 "
"630 ";"12 ";"G 1/4'' ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"MV-ev-S-12-G 1/4''-OMD ";"15,16 ";"S ";"6342 "
"630 ";"12 ";"G 1/2'' ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"MV-ev-S-12-G 1/2''-OMD ";"25,08 ";"S ";"6343 "
