"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/4'' ";"42,0 ";"26,0 ";"17,0 ";"19 ";"17 ";"GAI-S-06-G 1/4'' ";"15,93 ";"S ";"12078 "
"630 ";"6 ";"G 3/8'' ";"";"";"17,0 ";"24 ";"17 ";"GAI-S-06-G 3/8'' ";"";"S ";"12079 "
"630 ";"6 ";"G 1/2'' ";"48,0 ";"31,0 ";"20,0 ";"27 ";"17 ";"GAI-S-06-G 1/2'' ";"";"S ";"12080 "
"630 ";"8 ";"G 1/4'' ";"43,0 ";"26,0 ";"17,0 ";"19 ";"19 ";"GAI-S-08-G 1/4'' ";"16,31 ";"S ";"12081 "
"630 ";"8 ";"G 3/8'' ";"44,0 ";"27,0 ";"17,0 ";"24 ";"19 ";"GAI-S-08-G 3/8'' ";"21,8 ";"S ";"12082 "
"630 ";"8 ";"G 1/2'' ";"48,0 ";"31,0 ";"20,0 ";"27 ";"19 ";"GAI-S-08-G 1/2'' ";"23,7 ";"S ";"12083 "
"630 ";"10 ";"G 3/8'' ";"45,0 ";"26,5 ";"17,0 ";"24 ";"22 ";"GAI-S-10-G 3/8'' ";"21,47 ";"S ";"12084 "
"630 ";"10 ";"G 1/2'' ";"49,5 ";"30,5 ";"20,0 ";"27 ";"22 ";"GAI-S-10-G 1/2'' ";"23,52 ";"S ";"12085 "
"630 ";"12 ";"G 1/4'' ";"46,0 ";"27,5 ";"17,0 ";"22 ";"24 ";"GAI-S-12-G 1/4'' ";"23,01 ";"S ";"12086 "
"630 ";"12 ";"G 3/8'' ";"45,0 ";"26,5 ";"17,0 ";"24 ";"24 ";"GAI-S-12-G 3/8'' ";"22,37 ";"S ";"12087 "
"630 ";"12 ";"G 1/2'' ";"50,0 ";"30,5 ";"20,0 ";"27 ";"24 ";"GAI-S-12-G 1/2'' ";"23,52 ";"S ";"12088 "
"630 ";"14 ";"G 3/8'' ";"50,0 ";"30,0 ";"17,0 ";"24 ";"27 ";"GAI-S-14-G 3/8'' ";"29,9 ";"S ";"12089 "
"630 ";"14 ";"G 1/2'' ";"52,0 ";"32,0 ";"20,0 ";"27 ";"27 ";"GAI-S-14-G 1/2'' ";"28,12 ";"S ";"12090 "
"400 ";"16 ";"G 3/8'' ";"48,0 ";"26,5 ";"17,5 ";"27 ";"30 ";"GAI-S-16-G 3/8'' ";"29,81 ";"S ";"12091 "
"400 ";"16 ";"G 1/2'' ";"53,0 ";"31,5 ";"20,0 ";"27 ";"30 ";"GAI-S-16-G 1/2'' ";"29,81 ";"S ";"12092 "
"400 ";"16 ";"G 3/4'' ";"55,0 ";"34,5 ";"22,0 ";"36 ";"30 ";"GAI-S-16-G 3/4'' ";"42,72 ";"S ";"12093 "
"400 ";"20 ";"G 1/2'' ";"57,0 ";"32,5 ";"20,0 ";"32 ";"36 ";"GAI-S-20-G 1/2'' ";"39,34 ";"S ";"12094 "
"400 ";"20 ";"G 3/4'' ";"60,0 ";"34,5 ";"22,0 ";"36 ";"36 ";"GAI-S-20-G 3/4'' ";"43,13 ";"S ";"12095 "
"400 ";"25 ";"G 3/4'' ";"60,0 ";"35,0 ";"22,0 ";"41 ";"46 ";"GAI-S-25-G 3/4'' ";"60,03 ";"S ";"12096 "
"400 ";"25 ";"G 1'' ";"66,5 ";"37,5 ";"24,5 ";"41 ";"46 ";"GAI-S-25-G 1'' ";"60,03 ";"S ";"12097 "
"400 ";"30 ";"G 1 1/4'' ";"72,5 ";"42,0 ";"26,5 ";"55 ";"50 ";"GAI-S-30-G 1 1/4'' ";"104,82 ";"S ";"12098 "
"315 ";"38 ";"G 1 1/2'' ";"79,5 ";"43,5 ";"28,5 ";"60 ";"60 ";"GAI-S-38-G 1 1/2'' ";"127,82 ";"S ";"12099 "
