"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"34 ";"19,0 ";"11,6 ";"14 ";"14 ";"GAI-L-06-1/8''-NPT-SC ";"17,03 ";"L ";"6581 "
"315 ";"6 ";"1/4'' NPT ";"38 ";"23,5 ";"16,4 ";"19 ";"14 ";"GAI-L-06-1/4''-NPT-SC ";"17,03 ";"L ";"6582 "
"315 ";"6 ";"3/8'' NPT ";"";"";"17,4 ";"24 ";"14 ";"GAI-L-06-3/8''-NPT-SC ";"";"L ";"6583 "
"315 ";"8 ";"1/4'' NPT ";"38 ";"23,5 ";"16,4 ";"19 ";"17 ";"GAI-L-08-1/4''-NPT-SC ";"17,84 ";"L ";"6584 "
"315 ";"8 ";"3/8'' NPT ";"39 ";"25,0 ";"17,4 ";"24 ";"17 ";"GAI-L-08-3/8''-NPT-SC ";"30,47 ";"L ";"6585 "
"315 ";"10 ";"1/4'' NPT ";"39 ";"24,0 ";"16,4 ";"19 ";"19 ";"GAI-L-10-1/4''-NPT-SC ";"18,4 ";"L ";"6586 "
"315 ";"10 ";"3/8'' NPT ";"";"";"17,4 ";"24 ";"19 ";"GAI-L-10-3/8''-NPT-SC ";"22,45 ";"L ";"6587 "
"315 ";"10 ";"1/2'' NPT ";"";"";"22,6 ";"27 ";"19 ";"GAI-L-10-1/2''-NPT-SC ";"22,55 ";"L ";"6588 "
"315 ";"12 ";"1/4'' NPT ";"42 ";"25,0 ";"16,4 ";"19 ";"22 ";"GAI-L-12-1/4''-NPT-SC ";"19,05 ";"L ";"6589 "
"315 ";"12 ";"3/8'' NPT ";"42 ";"27,0 ";"17,4 ";"24 ";"22 ";"GAI-L-12-3/8''-NPT-SC ";"22,45 ";"L ";"6590 "
"315 ";"12 ";"1/2'' NPT ";"47 ";"32,0 ";"22,6 ";"27 ";"22 ";"GAI-L-12-1/2''-NPT-SC ";"23,57 ";"L ";"6591 "
"315 ";"15 ";"3/8'' NPT ";"";"26,0 ";"17,4 ";"24 ";"27 ";"GAI-L-15-3/8''-NPT-SC ";"";"L ";"6592 "
"315 ";"15 ";"1/2'' NPT ";"48 ";"31,0 ";"22,6 ";"27 ";"27 ";"GAI-L-15-1/2''-NPT-SC ";"30,97 ";"L ";"6593 "
"315 ";"18 ";"1/2'' NPT ";"49 ";"32,5 ";"22,6 ";"27 ";"27 ";"GAI-L-18-1/2''-NPT-SC ";"36,86 ";"L ";"6594 "
"160 ";"22 ";"3/4'' NPT ";"52 ";"35,5 ";"23,1 ";"36 ";"36 ";"GAI-L-22-3/4''-NPT-SC ";"64,27 ";"L ";"6595 "
"160 ";"28 ";"1'' NPT ";"57 ";"40,5 ";"27,8 ";"41 ";"41 ";"GAI-L-28-1''-NPT-SC ";"90,5 ";"L ";"6596 "
"160 ";"35 ";"1 1/4'' NPT ";"62 ";"40,5 ";"28,3 ";"55 ";"50 ";"GAI-L-35-1 1/4''-NPT-SC ";"124,78 ";"L ";"6597 "
"160 ";"42 ";"1 1/2'' NPT ";"65 ";"42,0 ";"28,3 ";"55 ";"60 ";"GAI-L-42-1 1/2''-NPT-SC ";"145,15 ";"L ";"6598 "
"630 ";"6 ";"1/4'' NPT ";"41 ";"26,0 ";"16,4 ";"19 ";"17 ";"GAI-S-06-1/4''-NPT-SC ";"19,48 ";"S ";"6599 "
"630 ";"8 ";"1/4'' NPT ";"41 ";"26,0 ";"16,4 ";"19 ";"19 ";"GAI-S-08-1/4''-NPT-SC ";"20,14 ";"S ";"6600 "
"630 ";"10 ";"3/8'' NPT ";"44 ";"27,0 ";"17,4 ";"24 ";"22 ";"GAI-S-10-3/8''-NPT-SC ";"22,5 ";"S ";"6601 "
"630 ";"12 ";"3/8'' NPT ";"44 ";"27,5 ";"17,4 ";"24 ";"24 ";"GAI-S-12-3/8''-NPT-SC ";"24,19 ";"S ";"6602 "
"630 ";"12 ";"1/2'' NPT ";"50 ";"33,5 ";"22,6 ";"27 ";"24 ";"GAI-S-12-1/2''-NPT-SC ";"31,89 ";"S ";"6603 "
"630 ";"14 ";"1/2'' NPT ";"53 ";"35,0 ";"22,6 ";"27 ";"27 ";"GAI-S-14-1/2''-NPT-SC ";"36,66 ";"S ";"6604 "
"400 ";"16 ";"3/8'' NPT ";"48 ";"27,5 ";"17,4 ";"27 ";"30 ";"GAI-S-16-3/8''-NPT-SC ";"36,37 ";"S ";"6605 "
"400 ";"16 ";"1/2'' NPT ";"50 ";"34,5 ";"22,6 ";"27 ";"30 ";"GAI-S-16-1/2''-NPT-SC ";"36,37 ";"S ";"6606 "
"400 ";"20 ";"3/4'' NPT ";"57 ";"35,5 ";"23,1 ";"36 ";"36 ";"GAI-S-20-3/4''-NPT-SC ";"70,36 ";"S ";"6607 "
"400 ";"25 ";"1'' NPT ";"65 ";"41,0 ";"27,8 ";"41 ";"46 ";"GAI-S-25-1''-NPT-SC ";"101,52 ";"S ";"6608 "
"400 ";"30 ";"1 1/4'' NPT ";"70 ";"43,5 ";"28,3 ";"55 ";"50 ";"GAI-S-30-1 1/4''-NPT-SC ";"152,36 ";"S ";"6609 "
"315 ";"38 ";"1 1/2'' NPT ";"74 ";"43,0 ";"28,3 ";"60 ";"60 ";"GAI-S-38-1 1/2''-NPT-SC ";"164,54 ";"S ";"6610 "
