"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"17 ";"18 ";"14 ";"THV-L-06-M 10x1-WDS ";"146,87 ";"L ";"11040 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-L-08-M 12x1,5-WDS ";"181,31 ";"L ";"11041 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-L-10-M 14x1,5-WDS ";"190,32 ";"L ";"11042 "
"350 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"24 ";"27 ";"22 ";"THV-L-12-M 16x1,5-WDS ";"210,05 ";"L ";"11043 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27 ";"30 ";"27 ";"THV-L-15-M 18x1,5-WDS ";"282,58 ";"L ";"11044 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"30 ";"32 ";"32 ";"THV-L-18-M 22x1,5-WDS ";"354,27 ";"L ";"11045 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-L-22-M 26x1,5-WDS ";"548,42 ";"L ";"11046 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"46 ";"50 ";"41 ";"THV-L-28-M 33x2-WDS ";"795,43 ";"L ";"11047 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-L-35-M 42x2-WDS ";"1070,13 ";"L ";"11048 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-L-42-M 48x2-WDS ";"1336,42 ";"L ";"11049 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24,0 ";"17 ";"18 ";"12 ";"THV-LL-06-M 10x1-WDS ";"148,31 ";"LL ";"11038 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24,0 ";"17 ";"18 ";"14 ";"THV-LL-08-M 10x1-WDS ";"148,31 ";"LL ";"11039 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-S-06-M 12x1,5-WDS ";"181,31 ";"S ";"11050 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-S-08-M 14x1,5-WDS ";"182,65 ";"S ";"11051 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"24 ";"27 ";"22 ";"THV-S-10-M 16x1,5-WDS ";"215,17 ";"S ";"11052 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27 ";"30 ";"24 ";"THV-S-12-M 18x1,5-WDS ";"228,89 ";"S ";"11053 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30 ";"32 ";"30 ";"THV-S-16-M 22x1,5-WDS ";"369,61 ";"S ";"11055 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-S-20-M 27x2-WDS ";"551,17 ";"S ";"11056 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"46 ";"50 ";"46 ";"THV-S-25-M 33x2-WDS ";"744,3 ";"S ";"11057 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-S-30-M 42x2-WDS ";"993,44 ";"S ";"11058 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-S-38-M 48x2-WDS ";"1223,68 ";"S ";"11059 "
