"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"6 ";"29 ";"14 ";"19 ";"7 ";"14 ";"14 ";"14 ";"8 x 2,2 ";"WEEV-LR-06-G 1/8'' ";"81,72 ";"L ";"11267 "
"315 ";"8 ";"G 1/4'' ";"8 ";"31 ";"16 ";"23 ";"9 ";"19 ";"14 ";"17 ";"10,77 x 2,62 ";"WEEV-LR-08-G 1/4'' ";"81,43 ";"L ";"11268 "
"315 ";"10 ";"G 1/4'' ";"10 ";"32 ";"17 ";"25 ";"9 ";"19 ";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-LR-10-G 1/4'' ";"82,56 ";"L ";"11269 "
"250 ";"12 ";"G 3/8'' ";"12 ";"34 ";"19 ";"28 ";"9 ";"22 ";"19 ";"22 ";"13,94 x 2,62 ";"WEEV-LR-12-G 3/8'' ";"93,05 ";"L ";"11272 "
"250 ";"15 ";"G 1/2'' ";"15 ";"36 ";"21 ";"30 ";"13 ";"27 ";"19 ";"27 ";"17,86 x 2,62 ";"WEEV-LR-15-G 1/2'' ";"97,43 ";"L ";"11273 "
"250 ";"18 ";"G 1/2'' ";"18 ";"40 ";"24 ";"36 ";"13 ";"27 ";"24 ";"32 ";"17,68 x 2,62 ";"WEEV-LR-18-G 1/2'' ";"142,79 ";"L ";"11274 "
"160 ";"22 ";"G 3/4'' ";"22 ";"44 ";"28 ";"36 ";"13 ";"36 ";"27 ";"36 ";"23,47 x 2,62 ";"WEEV-LR-22-G 3/4'' ";"174,14 ";"L ";"11275 "
"160 ";"28 ";"G 1'' ";"28 ";"47 ";"31 ";"44 ";"15 ";"41 ";"36 ";"41 ";"29,74 x 3,53 ";"WEEV-LR-28-G 1'' ";"274,69 ";"L ";"11276 "
"160 ";"35 ";"G 1 1/4'' ";"35 ";"59 ";"38 ";"50 ";"15 ";"50 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-LR-35-G 1 1/4'' ";"357,41 ";"L ";"11277 "
"160 ";"42 ";"G 1 1/2'' ";"42 ";"61 ";"38 ";"52 ";"15 ";"55 ";"50 ";"60 ";"44,04 x 3,53 ";"WEEV-LR-42-G 1 1/2'' ";"519,93 ";"L ";"11278 "
"315 ";"6 ";"G 1/4'' ";"6 ";"30 ";"15 ";"23 ";"9 ";"19 ";"14 ";"17 ";"10,77 x 2,62 ";"WEEV-SR-06-G 1/4'' ";"81,12 ";"S ";"11279 "
"315 ";"8 ";"G 1/4'' ";"8 ";"32 ";"17 ";"27 ";"9 ";"19 ";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-SR-08-G 1/4'' ";"84,73 ";"S ";"11280 "
"250 ";"10 ";"G 3/8'' ";"10 ";"34 ";"18 ";"29 ";"9 ";"22 ";"19 ";"22 ";"13,94 x 2,62 ";"WEEV-SR-10-G 3/8'' ";"90,47 ";"S ";"11281 "
"250 ";"12 ";"G 3/8'' ";"12 ";"38 ";"22 ";"29 ";"9 ";"22 ";"19 ";"24 ";"13,94 x 2,62 ";"WEEV-SR-12-G 3/8'' ";"91,5 ";"S ";"11282 "
"250 ";"16 ";"G 1/2'' ";"16 ";"43 ";"25 ";"36 ";"13 ";"27 ";"24 ";"30 ";"17,86 x 2,62 ";"WEEV-SR-16-G 1/2'' ";"143,61 ";"S ";"11283 "
"250 ";"20 ";"G 3/4'' ";"20 ";"49 ";"28 ";"39 ";"12 ";"36 ";"27 ";"36 ";"23,47 x 2,62 ";"WEEV-SR-20-G 3/4'' ";"186,93 ";"S ";"11284 "
"250 ";"25 ";"G 1'' ";"25 ";"54 ";"30 ";"44 ";"14 ";"41 ";"36 ";"46 ";"29,74 x 3,53 ";"WEEV-SR-25-G 1'' ";"298,2 ";"S ";"11285 "
"160 ";"30 ";"G 1 1/4'' ";"30 ";"62 ";"36 ";"49 ";"15 ";"50 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-SR-30-G 1 1/4'' ";"415,36 ";"S ";"11286 "
"160 ";"38 ";"G 1 1/2'' ";"38 ";"65 ";"34 ";"55 ";"15 ";"55 ";"50 ";"60 ";"37,69 x 3,53 ";"WEEV-SR-38-G 1 1/2'' ";"622,21 ";"S ";"11287 "
