"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"14,0 ";"19,0 ";"7,0 ";"";"14 ";"14 ";"8 x 2,2 ";"WEEV-LR-06-G 1/8''-OMD ";"79,41 ";"L ";"11305 "
"315 ";"8 ";"G 1/4'' ";"16,0 ";"23,0 ";"9,0 ";"23,0 ";"19 ";"14 ";"10,77 x 2,62 ";"WEEV-LR-08-G 1/4''-OMD ";"78,63 ";"L ";"11306 "
"315 ";"10 ";"G 1/4'' ";"17,0 ";"25,0 ";"9,0 ";"24,0 ";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-LR-10-G 1/4''-OMD ";"79,2 ";"L ";"11307 "
"250 ";"12 ";"G 3/8'' ";"19,0 ";"28,0 ";"9,0 ";"26,0 ";"22 ";"19 ";"13,94 x 2,62 ";"WEEV-LR-12-G 3/8''-OMD ";"89,16 ";"L ";"11308 "
"250 ";"15 ";"G 1/2'' ";"21,0 ";"30,0 ";"13,0 ";"28,0 ";"27 ";"19 ";"17,86 x 2,62 ";"WEEV-LR-15-G 1/2''-OMD ";"92,29 ";"L ";"11309 "
"250 ";"18 ";"G 1/2'' ";"24,0 ";"36,0 ";"13,0 ";"31,0 ";"27 ";"24 ";"17,86 x 2,62 ";"WEEV-LR-18-G 1/2''-OMD ";"134,17 ";"L ";"11310 "
"160 ";"22 ";"G 3/4'' ";"28,0 ";"36,0 ";"13,0 ";"35,0 ";"36 ";"27 ";"23,47 x 2,62 ";"WEEV-LR-22-G 3/4''-OMD ";"163,83 ";"L ";"11311 "
"160 ";"28 ";"G 1'' ";"31,0 ";"44,0 ";"15,0 ";"38,0 ";"41 ";"36 ";"29,74 x 3,53 ";"WEEV-LR-28-G 1''-OMD ";"259,84 ";"L ";"11312 "
"160 ";"35 ";"G 1 1/4'' ";"38,0 ";"50,0 ";"15,0 ";"48,5 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-LR-35-G 1 1/4''-OMD ";"336,3 ";"L ";"11313 "
"160 ";"42 ";"G 1 1/2'' ";"38,0 ";"52,0 ";"15,0 ";"51,0 ";"55 ";"50 ";"44,04 x 3,53 ";"WEEV-LR-42-G 1 1/2''-OMD ";"492,5 ";"L ";"11314 "
"315 ";"6 ";"G 1/4'' ";"15,0 ";"23,0 ";"9,0 ";"";"19 ";"14 ";"10,77 x 2,62 ";"WEEV-SR-06-G 1/4''-OMD ";"78,33 ";"S ";"11315 "
"315 ";"8 ";"G 1/4'' ";"17,0 ";"27,0 ";"9,0 ";"";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-SR-08-G 1/4''-OMD ";"81,53 ";"S ";"11316 "
"250 ";"10 ";"G 3/8'' ";"18,0 ";"29,0 ";"9,0 ";"25,0 ";"22 ";"19 ";"13,94 x 2,62 ";"WEEV-SR-10-G 3/8''-OMD ";"86,53 ";"S ";"11317 "
"250 ";"12 ";"G 3/8'' ";"22,0 ";"29,0 ";"9,0 ";"29,5 ";"22 ";"19 ";"13,94 x 2,62 ";"WEEV-SR-12-G 3/8''-OMD ";"87,05 ";"S ";"11318 "
"250 ";"16 ";"G 1/2'' ";"25,0 ";"36,0 ";"13,0 ";"33,0 ";"27 ";"24 ";"17,86 x 2,62 ";"WEEV-SR-16-G 1/2''-OMD ";"135,4 ";"S ";"11319 "
"250 ";"20 ";"G 3/4'' ";"28,0 ";"39,0 ";"12,0 ";"38,0 ";"36 ";"27 ";"23,47 x 2,62 ";"WEEV-SR-20-G 3/4''-OMD ";"176,35 ";"S ";"11320 "
"250 ";"25 ";"G 1'' ";"30,0 ";"44,0 ";"14,0 ";"";"41 ";"36 ";"29,74 x 3,53 ";"WEEV-SR-25-G 1''-OMD ";"279,58 ";"S ";"11321 "
"160 ";"30 ";"G 1 1/4'' ";"36,0 ";"49,0 ";"15,0 ";"49,5 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-SR-30-G 1 1/4''-OMD ";"391,92 ";"S ";"11322 "
"160 ";"38 ";"G 1 1/2'' ";"34,0 ";"55,0 ";"15,0 ";"57,0 ";"55 ";"50 ";"37,69 x 3,53 ";"WEEV-SR-38-G 1 1/2''-OMD ";"590,4 ";"S ";"11323 "
