"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"11,0 ";"25,0 ";"14,0 ";"GRV-L-08/06-OMD ";"7,93 ";"L ";"2738 "
"500 ";"10 ";"6 ";"12,0 ";"26,0 ";"17,0 ";"GRV-L-10/06-OMD ";"8,44 ";"L ";"2739 "
"500 ";"10 ";"8 ";"12,0 ";"26,0 ";"17,0 ";"GRV-L-10/08-OMD ";"9,82 ";"L ";"2740 "
"400 ";"12 ";"6 ";"13,0 ";"27,0 ";"19,0 ";"GRV-L-12/06-OMD ";"9,91 ";"L ";"2741 "
"400 ";"12 ";"8 ";"13,0 ";"27,0 ";"19,0 ";"GRV-L-12/08-OMD ";"10,69 ";"L ";"2742 "
"400 ";"12 ";"10 ";"14,0 ";"28,0 ";"19,0 ";"GRV-L-12/10-OMD ";"11,41 ";"L ";"2743 "
"400 ";"15 ";"6 ";"14,0 ";"28,0 ";"24,0 ";"GRV-L-15/06-OMD ";"12,34 ";"L ";"2744 "
"400 ";"15 ";"8 ";"14,0 ";"28,0 ";"24,0 ";"GRV-L-15/08-OMD ";"13,28 ";"L ";"2745 "
"400 ";"15 ";"10 ";"15,0 ";"29,0 ";"24,0 ";"GRV-L-15/10-OMD ";"14,23 ";"L ";"2746 "
"400 ";"15 ";"12 ";"15,0 ";"29,0 ";"24,0 ";"GRV-L-15/12-OMD ";"14,46 ";"L ";"2747 "
"400 ";"18 ";"8 ";"14,5 ";"29,0 ";"27,0 ";"GRV-L-18/08-OMD ";"19,26 ";"L ";"2748 "
"400 ";"18 ";"10 ";"15,5 ";"30,0 ";"27,0 ";"GRV-L-18/10-OMD ";"20,03 ";"L ";"2749 "
"400 ";"18 ";"12 ";"15,0 ";"30,0 ";"27,0 ";"GRV-L-18/12-OMD ";"20,95 ";"L ";"2750 "
"400 ";"18 ";"15 ";"16,5 ";"31,0 ";"27,0 ";"GRV-L-18/15-OMD ";"21,37 ";"L ";"2751 "
"250 ";"22 ";"8 ";"17,5 ";"32,0 ";"32,0 ";"GRV-L-22/08-OMD ";"30,61 ";"L ";"2752 "
"250 ";"22 ";"10 ";"17,5 ";"32,0 ";"32,0 ";"GRV-L-22/10-OMD ";"30,61 ";"L ";"2753 "
"250 ";"22 ";"12 ";"17,5 ";"32,0 ";"32,0 ";"GRV-L-22/12-OMD ";"30,23 ";"L ";"2754 "
"250 ";"22 ";"15 ";"18,5 ";"33,0 ";"32,0 ";"GRV-L-22/15-OMD ";"28,47 ";"L ";"2755 "
"250 ";"22 ";"18 ";"18,0 ";"33,0 ";"32,0 ";"GRV-L-22/18-OMD ";"27,6 ";"L ";"2756 "
"250 ";"28 ";"10 ";"20,5 ";"35,0 ";"41,0 ";"GRV-L-28/10-OMD ";"50,82 ";"L ";"2757 "
"250 ";"28 ";"12 ";"19,0 ";"35,0 ";"41,0 ";"GRV-L-28/12-OMD ";"53,61 ";"L ";"2758 "
"250 ";"28 ";"15 ";"19,0 ";"36,0 ";"41,0 ";"GRV-L-28/15-OMD ";"51,59 ";"L ";"2759 "
"250 ";"28 ";"18 ";"19,0 ";"34,0 ";"41,0 ";"GRV-L-28/18-OMD ";"50,67 ";"L ";"2760 "
"250 ";"28 ";"22 ";"21,0 ";"36,0 ";"41,0 ";"GRV-L-28/22-OMD ";"51,53 ";"L ";"2761 "
"250 ";"35 ";"15 ";"19,5 ";"37,0 ";"46,0 ";"GRV-L-35/15-OMD ";"66,96 ";"L ";"2762 "
"250 ";"35 ";"18 ";"19,5 ";"37,0 ";"46,0 ";"GRV-L-35/18-OMD ";"63,58 ";"L ";"2763 "
"250 ";"35 ";"22 ";"21,0 ";"39,0 ";"46,0 ";"GRV-L-35/22-OMD ";"62,25 ";"L ";"2764 "
"250 ";"35 ";"28 ";"21,0 ";"39,0 ";"46,0 ";"GRV-L-35/28-OMD ";"65,79 ";"L ";"2765 "
"250 ";"42 ";"15 ";"21,0 ";"39,0 ";"55,0 ";"GRV-L-42/15-OMD ";"94,23 ";"L ";"2766 "
"250 ";"42 ";"18 ";"20,5 ";"39,0 ";"55,0 ";"GRV-L-42/18-OMD ";"90,75 ";"L ";"2767 "
"250 ";"42 ";"22 ";"22,5 ";"41,0 ";"55,0 ";"GRV-L-42/22-OMD ";"89,57 ";"L ";"2768 "
"250 ";"42 ";"28 ";"22,5 ";"41,0 ";"55,0 ";"GRV-L-42/28-OMD ";"85,54 ";"L ";"2769 "
"250 ";"42 ";"35 ";"21,5 ";"43,0 ";"55,0 ";"GRV-L-42/35-OMD ";"84,4 ";"L ";"2770 "
"100 ";"6 ";"4 ";"10,5 ";"20,0 ";"11,0 ";"GRV-LL-06/04-OMD ";"7,85 ";"LL ";"2736 "
"100 ";"8 ";"6 ";"11,0 ";"22,0 ";"12,0 ";"GRV-LL-08/06-OMD ";"8,41 ";"LL ";"2737 "
