"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EVW-L-06-G 1/8''-OMD ";"20 ";"L ";"7029 "
"315 ";"8 ";"G 1/4'' ";"37,5 ";"27,5 ";"21,0 ";"12 ";"19 ";"12 ";"17 ";"EVW-L-08-G 1/4''-OMD ";"21,27 ";"L ";"7030 "
"315 ";"10 ";"G 1/4'' ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EVW-L-10-G 1/4''-OMD ";"27,23 ";"L ";"7031 "
"315 ";"12 ";"G 1/4'' ";"42,0 ";"29,5 ";"24,0 ";"12 ";"19 ";"17 ";"22 ";"EVW-L-12-G 1/4''-OMD ";"35,01 ";"L ";"7032 "
"315 ";"12 ";"G 3/8'' ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EVW-L-12-G 3/8''-OMD ";"32,23 ";"L ";"7033 "
"315 ";"12 ";"G 1/2'' ";"43,0 ";"29,5 ";"24,0 ";"14 ";"27 ";"17 ";"22 ";"EVW-L-12-G 1/2''-OMD ";"38,7 ";"L ";"7034 "
"315 ";"15 ";"G 1/2'' ";"46,5 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"EVW-L-15-G 1/2''-OMD ";"43,01 ";"L ";"7035 "
"315 ";"18 ";"G 1/2'' ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EVW-L-18-G 1/2''-OMD ";"57,41 ";"L ";"7036 "
"160 ";"22 ";"G 3/4'' ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EVW-L-22-G 3/4''-OMD ";"71,88 ";"L ";"7037 "
"160 ";"28 ";"G 1'' ";"61,0 ";"43,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EVW-L-28-G 1''-OMD ";"106,71 ";"L ";"7038 "
"160 ";"35 ";"G 1 1/4'' ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-L-35-G 1 1/4''-OMD ";"152,07 ";"L ";"7039 "
"160 ";"42 ";"G 1 1/2'' ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-L-42-G 1 1/2''-OMD ";"218,68 ";"L ";"7040 "
"630 ";"6 ";"G 1/4'' ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"EVW-S-06-G 1/4''-OMD ";"23,41 ";"S ";"7041 "
"630 ";"8 ";"G 1/4'' ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EVW-S-08-G 1/4''-OMD ";"27,43 ";"S ";"7042 "
"630 ";"10 ";"G 3/8'' ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EVW-S-10-G 3/8''-OMD ";"32,62 ";"S ";"7043 "
"630 ";"12 ";"G 3/8'' ";"48,0 ";"31,0 ";"29,0 ";"12 ";"22 ";"17 ";"24 ";"EVW-S-12-G 3/8''-OMD ";"37,68 ";"S ";"7044 "
"630 ";"12 ";"G 1/2'' ";"50,0 ";"31,0 ";"29,0 ";"14 ";"27 ";"17 ";"24 ";"EVW-S-12-G 1/2''-OMD ";"43,41 ";"S ";"7045 "
"630 ";"14 ";"G 1/2'' ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EVW-S-14-G 1/2''-OMD ";"47,11 ";"S ";"7046 "
"400 ";"16 ";"G 1/2'' ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EVW-S-16-G 1/2''-OMD ";"59,26 ";"S ";"7047 "
"400 ";"20 ";"G 3/4'' ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EVW-S-20-G 3/4''-OMD ";"75,45 ";"S ";"7048 "
"400 ";"25 ";"G 1'' ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EVW-S-25-G 1''-OMD ";"111,71 ";"S ";"7049 "
"400 ";"30 ";"G 1 1/4'' ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-S-30-G 1 1/4''-OMD ";"155,08 ";"S ";"7050 "
"250 ";"38 ";"G 1 1/2'' ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-S-38-G 1 1/2''-OMD ";"217,6 ";"S ";"7051 "
