"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"EVW-L-06-M 10x1-OMD ";"20 ";"L ";"7092 "
"315 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"EVW-L-08-M 12x1,5-OMD ";"21,68 ";"L ";"7093 "
"315 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"EVW-L-10-M 14x1,5-OMD ";"27,17 ";"L ";"7094 "
"315 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"EVW-L-12-M 16x1,5-OMD ";"32,97 ";"L ";"7095 "
"315 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"EVW-L-15-M 18x1,5-OMD ";"42,43 ";"L ";"7096 "
"315 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"EVW-L-18-M 22x1,5-OMD ";"58,74 ";"L ";"7097 "
"160 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"EVW-L-22-M 26x1,5-OMD ";"73,06 ";"L ";"7098 "
"160 ";"28 ";"M 33 x 2 ";"30,5 ";"61,0 ";"43,5 ";"38,0 ";"18 ";"41 ";"36 ";"EVW-L-28-M 33x2-OMD ";"108,09 ";"L ";"7099 "
"160 ";"35 ";"M 42 x 2 ";"34,5 ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"EVW-L-35-M 42x2-OMD ";"152,07 ";"L ";"7100 "
"160 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"EVW-L-42-M 48x2-OMD ";"218,68 ";"L ";"7101 "
"630 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"EVW-S-06-M 12x1,5-OMD ";"25,87 ";"S ";"7102 "
"630 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"EVW-S-08-M 14x1,5-OMD ";"30,16 ";"S ";"7103 "
"630 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"EVW-S-10-M 16x1,5-OMD ";"34,02 ";"S ";"7104 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"EVW-S-12-M 18x1,5-OMD ";"39,11 ";"S ";"7105 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"EVW-S-14-M 20x1,5-OMD ";"47,04 ";"S ";"7106 "
"400 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"EVW-S-16-M 22x1,5-OMD ";"59,26 ";"S ";"7107 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"EVW-S-20-M 27x2-OMD ";"75,7 ";"S ";"7108 "
"400 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"EVW-S-25-M 33x2-OMD ";"111,94 ";"S ";"7109 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"EVW-S-30-M 42x2-OMD ";"153,8 ";"S ";"7110 "
"250 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"EVW-S-38-M 48x2-OMD ";"218,11 ";"S ";"7111 "
